Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
intellectual,Adj,:,25,97,0.91
linguistic,Adj,:,25,78,0.82
creative,Adj,:,25,99,0.9
equivalent,Adj,:,25,96,0.91
medieval,Adj,:,25,97,0.89
convinced,Adj,:,25,100,0.95
sophisticated,Adj,:,25,99,0.94
lost,Adj,:,25,100,0.95
level,Adj,:,25,100,0.93
raw,Adj,%,25,100,0.95
asleep,Adj,:,25,97,0.88
victorian,Adj,:,25,99,0.92
ultimate,Adj,:,25,100,0.94
judicial,Adj,:,25,84,0.78
experimental,Adj,:,24,94,0.88
collective,Adj,:,24,97,0.89
strict,Adj,%,24,100,0.94
native,Adj,:,24,96,0.92
illegal,Adj,:,24,100,0.88
revolutionary,Adj,:,24,93,0.86
australian,Adj,:,24,98,0.9
bitter,Adj,:,24,100,0.94
informal,Adj,:,24,98,0.91
flexible,Adj,:,24,97,0.92
wise,Adj,%,24,100,0.95
changing,Adj,:,24,100,0.92
outer,Adj,:,24,100,0.92
imperial,Adj,:,24,97,0.89
frequent,Adj,:,24,99,0.93
generous,Adj,:,23,100,0.95
prominent,Adj,:,23,98,0.92
logical,Adj,:,23,100,0.92
historic,Adj,:,23,97,0.9
gross,Adj,%,23,100,0.87
bare,Adj,%,23,100,0.9
ethnic,Adj,:,23,96,0.87
rational,Adj,:,23,96,0.87
intense,Adj,:,23,99,0.95
electrical,Adj,:,23,100,0.92
modest,Adj,%,23,100,0.95
weekly,Adj,:,23,100,0.93
spiritual,Adj,:,23,97,0.88
loud,Adj,%,23,99,0.91
valid,Adj,:,23,99,0.88
dutch,Adj,:,23,100,0.91
acute,Adj,%,23,95,0.84
inadequate,Adj,:,23,98,0.93
automatic,Adj,:,23,100,0.94
sole,Adj,%,22,100,0.91
multiple,Adj,:,22,99,0.88
exact,Adj,:,22,100,0.95
ruling,Adj,:,22,89,0.69
curious,Adj,%,22,98,0.93
mutual,Adj,:,22,98,0.94
distinctive,Adj,:,22,99,0.91
identical,Adj,:,22,100,0.92
managing,Adj,:,22,95,0.9
satisfactory,Adj,:,22,99,0.93
liable,Adj,:,22,99,0.84
pregnant,Adj,:,22,100,0.89
underlying,Adj,:,22,95,0.92
nearby,Adj,:,22,96,0.92
reliable,Adj,:,22,100,0.94
urgent,Adj,%,22,100,0.95
latin,Adj,:,22,97,0.82
electoral,Adj,:,22,84,0.83
marginal,Adj,:,22,82,0.76
jewish,Adj,:,22,97,0.88
arab,Adj,:,22,86,0.71
frightened,Adj,:,21,99,0.9
encouraging,Adj,:,21,99,0.94
presidential,Adj,:,21,88,0.64
continued,Adj,:,21,97,0.92
disappointed,Adj,:,21,100,0.94
statistical,Adj,:,21,85,0.87
desirable,Adj,:,21,98,0.93
superb,Adj,:,21,100,0.9
capitalist,Adj,:,21,89,0.8
organic,Adj,:,21,92,0.88
sheer,Adj,%,21,100,0.95
controversial,Adj,:,21,95,0.91
exclusive,Adj,:,21,100,0.93
gastric,Adj,:,21,47,0.28
romantic,Adj,:,21,96,0.92
full-time,Adj,:,21,99,0.88
expected,Adj,:,21,99,0.88
marked,Adj,:,21,100,0.92
innocent,Adj,:,21,97,0.93
everyday,Adj,:,21,100,0.92
improved,Adj,:,21,89,0.92
oral,Adj,:,21,90,0.79
unexpected,Adj,:,21,100,0.95
experienced,Adj,:,21,100,0.94
marine,Adj,:,20,94,0.85
retail,Adj,:,20,88,0.9
superior,Adj,:,20,99,0.94
straightforward,Adj,:,20,100,0.94
closed,Adj,:,20,100,0.95
established,Adj,:,20,95,0.91
artificial,Adj,:,20,100,0.93
