Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
evidence,NoC,%,215,100,0.93
ground,NoC,%,215,100,0.96
foot,NoC,%,214,100,0.93
off,Prep,:,214,100,0.95
rather,Adv,:,213,100,0.96
sell,Verb,%,213,100,0.95
boy,NoC,%,213,100,0.93
wait,Verb,%,213,100,0.91
game,NoC,%,212,100,0.9
back,NoC,%,212,100,0.93
third,Num,:,211,100,0.95
food,NoC,%,211,100,0.94
union,NoC,%,211,100,0.88
role,NoC,%,210,100,0.93
ten,Num,%,210,100,0.92
half,DetP,:,209,100,0.95
else,Adv,:,209,100,0.93
shall,VMod,%,208,100,0.92
event,NoC,%,208,100,0.94
land,NoC,%,208,100,0.94
white,Adj,%,207,100,0.95
art,NoC,%,206,100,0.86
cause,Verb,%,206,100,0.95
thus,Adv,:,205,100,0.91
sometimes,Adv,:,205,100,0.96
support,NoC,%,204,100,0.93
pass,Verb,%,204,100,0.97
voice,NoC,%,203,100,0.88
range,NoC,%,203,100,0.93
teacher,NoC,%,203,100,0.9
trade,NoC,%,203,100,0.91
lie,Verb,%,203,100,0.94
stage,NoC,%,203,100,0.95
accept,Verb,%,202,100,0.96
club,NoC,%,202,100,0.88
watch,Verb,%,202,100,0.91
God,NoP,:,202,100,0.9
arm,NoC,%,202,100,0.9
behind,Prep,:,202,100,0.93
4,Num,%,202,93,0.92
parent,NoC,%,201,100,0.93
Field,NoC,%,201,100,0.93
history,NoC,%,201,100,0.92
account,NoC,%,200,100,0.93
free,Adj,%,200,100,0.96
material,NoC,%,199,100,0.93
easy,Adj,%,198,100,0.96
whose,DetP,:,198,100,0.96
short,Adj,%,198,100,0.97
ago,Adv,:,198,100,0.94
care,NoC,%,198,100,0.9
situation,NoC,%,198,100,0.95
manager,NoC,%,197,100,0.9
record,NoC,%,197,100,0.92
project,NoC,%,197,100,0.89
strong,Adj,%,197,100,0.97
so_that,Conj,:,197,100,0.96
raise,Verb,%,196,100,0.97
example,NoC,%,196,100,0.92
yesterday,Adv,:,195,98,0.79
european,Adj,:,195,100,0.9
training,NoC,%,194,100,0.91
home,Adv,:,194,100,0.93
window,NoC,%,194,100,0.9
base,Verb,%,194,100,0.94
central,Adj,:,193,100,0.93
break,Verb,%,193,100,0.97
learn,Verb,%,193,100,0.96
all,Adv,:,193,100,0.96
explain,Verb,%,193,100,0.97
apply,Verb,%,193,100,0.92
increase,Verb,%,192,100,0.93
usually,Adv,:,191,100,0.95
difference,NoC,%,191,100,0.94
university,NoC,%,191,100,0.88
Air,NoC,%,191,100,0.95
grow,Verb,%,191,100,0.96
cover,Verb,%,191,100,0.96
light,NoC,%,191,100,0.93
wife,NoC,%,190,100,0.93
report,Verb,%,189,100,0.89
Sir,NoC,%,189,100,0.92
claim,Verb,%,189,100,0.92
relationship,NoC,%,189,100,0.93
indeed,Adv,:,188,100,0.95
support,Verb,%,188,100,0.93
quality,NoC,%,188,100,0.93
10,Num,%,187,93,0.91
rule,NoC,%,187,100,0.91
someone,Pron,:,187,100,0.93
everything,Pron,:,187,100,0.93
certainly,Adv,:,186,100,0.95
cut,Verb,%,184,100,0.96
form,Verb,%,184,100,0.94
story,NoC,%,184,100,0.95
similar,Adj,:,184,100,0.94
worker,NoC,%,184,100,0.91
pound,NoC,%,184,100,0.8
tax,NoC,%,184,100,0.88
data,NoC,%,183,97,0.86
