Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
fee,NoC,%,58,100,0.91
cut,NoC,%,58,100,0.93
pleasure,NoC,%,58,100,0.93
waste,NoC,%,58,100,0.85
component,NoC,%,58,97,0.89
temperature,NoC,%,58,100,0.89
republic,NoC,%,58,97,0.78
grant,NoC,%,58,97,0.88
photograph,NoC,%,58,100,0.95
solicitor,NoC,%,58,100,0.81
publication,NoC,%,57,96,0.91
nurse,NoC,%,57,100,0.89
guide,NoC,%,57,100,0.91
household,NoC,%,57,100,0.91
experiment,NoC,%,57,100,0.89
screen,NoC,%,57,100,0.9
silence,NoC,%,57,100,0.86
brain,NoC,%,57,100,0.93
program,NoC,%,57,88,0.79
expenditure,NoC,%,57,96,0.88
treaty,NoC,%,57,93,0.79
block,NoC,%,57,100,0.95
guest,NoC,%,57,100,0.9
trip,NoC,%,56,100,0.94
curriculum,NoC,%,56,96,0.82
assumption,NoC,%,56,97,0.91
initiative,NoC,%,56,99,0.91
search,NoC,%,56,99,0.88
connection,NoC,%,56,100,0.93
congress,NoC,%,56,94,0.76
Captain,NoC,%,56,100,0.9
scientist,NoC,%,56,100,0.78
crowd,NoC,%,56,99,0.93
sky,NoC,%,56,100,0.91
violence,NoC,%,56,100,0.9
sequence,NoC,%,56,98,0.83
sum,NoC,%,56,100,0.92
journey,NoC,%,56,100,0.95
noise,NoC,%,56,100,0.93
map,NoC,%,56,100,0.89
metal,NoC,%,56,100,0.93
pool,NoC,%,56,100,0.9
cover,NoC,%,56,100,0.93
phase,NoC,%,56,100,0.87
ministry,NoC,%,55,99,0.86
reading,NoC,%,55,100,0.93
cat,NoC,%,55,100,0.82
gun,NoC,%,55,100,0.92
emphasis,NoC,:,55,98,0.92
gallery,NoC,%,55,100,0.79
location,NoC,%,55,100,0.92
theme,NoC,%,55,100,0.92
display,NoC,%,55,100,0.93
Professor,NoC,%,55,100,0.86
instrument,NoC,%,55,100,0.9
gate,NoC,%,55,100,0.92
heat,NoC,%,55,100,0.94
tool,NoC,%,54,100,0.87
tooth,NoC,%,54,97,0.91
interpretation,NoC,%,54,99,0.89
prospect,NoC,%,54,100,0.95
hell,NoC,%,54,97,0.88
spot,NoC,%,54,100,0.95
faith,NoC,%,54,100,0.88
priority,NoC,%,54,100,0.94
drive,NoC,%,54,100,0.92
combination,NoC,%,54,100,0.93
opening,NoC,%,54,100,0.94
learning,NoC,%,54,99,0.87
troop,NoC,%,54,100,0.83
soldier,NoC,%,54,100,0.93
crown,NoC,%,53,100,0.89
total,NoC,%,53,99,0.91
corp,NoC,%,53,47,0.37
motion,NoC,%,53,99,0.87
revenue,NoC,%,53,96,0.89
variation,NoC,%,53,99,0.9
breath,NoC,%,53,99,0.85
alternative,NoC,%,53,100,0.95
membership,NoC,%,53,96,0.91
castle,NoC,%,53,99,0.9
release,NoC,%,53,100,0.89
mistake,NoC,%,53,100,0.96
literature,NoC,%,53,99,0.88
flow,NoC,%,53,100,0.89
Lane,NoC,%,53,100,0.9
Wing,NoC,%,53,100,0.92
coal,NoC,%,53,100,0.88
passage,NoC,%,52,100,0.92
suggestion,NoC,%,52,100,0.96
ring,NoC,%,52,100,0.94
criterion,NoC,%,52,93,0.9
winner,NoC,%,52,100,0.87
border,NoC,%,52,100,0.88
valley,NoC,%,52,98,0.92
index,NoC,%,52,99,0.83
pocket,NoC,%,52,100,0.91
incident,NoC,%,52,100,0.92
religion,NoC,%,51,100,0.87
representation,NoC,%,51,96,0.9
