Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
follow,Verb,%,460,100,0.93
where,Conj,:,458,100,0.96
end,NoC,%,458,100,0.98
without,Prep,:,456,100,0.98
few,DetP,:,450,100,0.97
within,Prep,:,449,100,0.95
about,Adv,:,447,100,0.97
local,Adj,:,445,100,0.93
during,Prep,:,440,100,0.95
state,NoC,%,440,100,0.9
begin,Verb,%,440,100,0.95
bring,Verb,%,439,100,0.98
word,NoC,%,438,100,0.95
although,Conj,:,436,100,0.96
before,Prep,:,434,100,0.97
next,Num,:,431,100,0.96
when,Adv,:,431,100,0.98
family,NoC,%,428,100,0.95
fact,NoC,%,426,100,0.96
like,Verb,%,424,100,0.91
social,Adj,:,422,100,0.9
most,DetP,:,422,100,0.96
going,Verb,%,417,100,0.85
help,Verb,%,416,100,0.97
start,Verb,%,414,100,0.96
quite,Adv,:,412,100,0.93
five,Num,%,409,100,0.91
run,Verb,%,406,100,0.96
head,NoC,%,402,100,0.92
every,Det,:,401,100,0.97
write,Verb,%,400,100,0.96
month,NoC,%,398,100,0.95
set,Verb,%,398,100,0.97
side,NoC,%,398,100,0.97
business,NoC,%,394,100,0.93
night,NoC,%,393,100,0.93
important,Adj,:,392,100,0.95
long,Adj,%,392,100,0.97
eye,NoC,%,392,100,0.87
move,Verb,%,391,100,0.96
Home,NoC,%,390,100,0.95
much,Adv,:,390,100,0.97
question,NoC,%,390,100,0.95
information,NoC,%,387,100,0.92
play,Verb,%,386,100,0.94
1,Num,%,385,96,0.9
power,NoC,%,385,100,0.94
per_cent,NoC,%,384,100,0.88
change,NoC,%,384,100,0.93
pay,Verb,%,381,100,0.95
young,Adj,%,379,100,0.96
both,Adv,:,378,100,0.95
national,Adj,:,376,100,0.91
interest,NoC,%,376,100,0.94
often,Adv,:,376,100,0.94
money,NoC,%,375,100,0.95
development,NoC,%,375,100,0.92
book,NoC,%,374,100,0.95
water,NoC,%,372,100,0.94
away,Adv,:,371,100,0.92
hear,Verb,%,367,100,0.93
other,NoC,%,367,100,0.97
form,NoC,%,365,100,0.93
room,NoC,%,364,100,0.92
level,NoC,%,360,100,0.94
second,Num,:,358,100,0.96
british,Adj,:,357,100,0.93
right,Adj,%,354,100,0.89
early,Adj,%,353,100,0.95
car,NoC,%,353,100,0.93
include,Verb,%,353,100,0.93
London,NoP,%,351,100,0.94
perhaps,Adv,:,350,100,0.96
council,NoC,%,348,100,0.89
policy,NoC,%,348,100,0.91
believe,Verb,%,347,100,0.97
market,NoC,%,346,100,0.92
right,Adv,:,346,100,0.8
2,Num,%,345,95,0.9
court,NoC,%,344,100,0.86
already,Adv,:,343,100,0.98
possible,Adj,:,342,100,0.95
allow,Verb,%,342,100,0.95
nothing,Pron,:,341,100,0.93
meet,Verb,%,339,100,0.97
big,Adj,%,338,100,0.94
yet,Adv,:,337,100,0.97
effect,NoC,%,336,100,0.93
result,NoC,%,334,100,0.94
lead,Verb,%,334,100,0.96
whether,Conj,:,332,100,0.95
mm,Int,:,330,48,0.64
live,Verb,%,329,100,0.96
idea,NoC,%,328,100,0.96
John,NoP,:,328,100,0.93
use,NoC,%,328,100,0.93
study,NoC,%,327,100,0.86
job,NoC,%,326,100,0.95
name,NoC,%,326,100,0.96
stand,Verb,%,326,100,0.92
