Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
Father,NoC,%,252,100,0.92
age,NoC,%,252,100,0.94
Britain,NoP,:,251,100,0.92
3,Num,%,251,95,0.91
force,NoC,%,250,100,0.9
value,NoC,%,250,100,0.92
order,NoC,%,250,100,0.91
send,Verb,%,250,100,0.97
act,NoC,%,248,100,0.88
matter,NoC,%,248,100,0.94
receive,Verb,%,247,100,0.95
lot,NoC,%,246,100,0.88
health,NoC,%,246,100,0.91
main,Adj,:,245,100,0.96
though,Conj,:,245,100,0.95
decide,Verb,%,245,100,0.97
enough,Adv,:,244,100,0.95
decision,NoC,%,243,100,0.93
Street,NoC,%,243,100,0.95
less,Adv,:,243,100,0.95
until,Conj,:,242,100,0.96
industry,NoC,%,242,100,0.91
patient,NoC,%,242,100,0.72
sure,Adj,%,241,100,0.92
class,NoC,%,241,100,0.92
win,Verb,%,241,100,0.9
mind,NoC,%,241,100,0.94
several,DetP,:,240,100,0.96
for_example,Adv,:,239,100,0.92
clear,Adj,%,239,100,0.96
church,NoC,%,238,100,0.91
major,Adj,:,238,100,0.94
understand,Verb,%,238,100,0.96
describe,Verb,%,237,100,0.94
develop,Verb,%,237,100,0.93
condition,NoC,%,237,100,0.94
around,Prep,:,237,100,0.96
itself,Pron,:,237,100,0.96
paper,NoC,%,237,100,0.96
themselves,Pron,%,237,100,0.96
agree,Verb,%,236,100,0.93
economic,Adj,:,236,99,0.88
open,Verb,%,235,100,0.95
upon,Prep,:,234,100,0.94
bank,NoC,%,234,100,0.9
reach,Verb,%,234,100,0.96
after,Conj,:,233,100,0.96
century,NoC,%,233,100,0.92
therefore,Adv,:,232,100,0.93
section,NoC,%,232,100,0.87
hundred,NoC,%,231,100,0.84
England,NoP,%,231,100,0.93
activity,NoC,%,231,100,0.92
only,Adj,:,231,100,0.98
table,NoC,%,231,100,0.94
death,NoC,%,230,100,0.95
including,Prep,:,230,100,0.93
build,Verb,%,230,100,0.95
building,NoC,%,229,100,0.94
involve,Verb,%,229,100,0.94
sort,NoC,%,229,100,0.9
sense,NoC,%,229,100,0.95
among,Prep,:,229,100,0.95
likely,Adj,%,228,100,0.95
staff,NoC,%,228,100,0.93
real,Adj,%,227,100,0.97
spend,Verb,%,227,100,0.97
team,NoC,%,226,100,0.91
black,Adj,%,226,100,0.95
return,Verb,%,225,100,0.96
draw,Verb,%,224,100,0.97
particular,Adj,:,223,100,0.93
experience,NoC,%,223,100,0.94
student,NoC,%,222,100,0.88
Town,NoC,%,221,100,0.93
language,NoC,%,221,100,0.88
mrs,NoC,%,221,100,0.91
international,Adj,:,221,100,0.9
certain,Adj,:,220,100,0.96
die,Verb,%,220,100,0.93
plan,NoC,%,220,100,0.93
particularly,Adv,:,220,100,0.95
either,Adv,:,220,100,0.97
special,Adj,:,220,100,0.96
difficult,Adj,:,220,100,0.96
department,NoC,%,219,100,0.87
morning,NoC,%,219,100,0.92
management,NoC,%,219,100,0.9
open,Adj,:,219,100,0.95
hope,Verb,%,219,100,0.95
across,Prep,:,217,100,0.95
create,Verb,%,217,100,0.94
product,NoC,%,217,100,0.89
committee,NoC,%,217,100,0.92
whole,Adj,:,216,100,0.97
practice,NoC,%,216,100,0.92
around,Adv,:,215,100,0.96
meeting,NoC,%,215,100,0.92
walk,Verb,%,215,100,0.91
letter,NoC,%,215,100,0.96
