Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
characteristic,Adj,:,17,91,0.9
handsome,Adj,%,17,92,0.9
payable,Adj,:,17,87,0.81
short-term,Adj,:,17,91,0.91
striking,Adj,:,17,99,0.93
fierce,Adj,%,17,99,0.93
exceptional,Adj,:,17,97,0.93
peaceful,Adj,:,17,99,0.91
chronic,Adj,:,17,95,0.71
excessive,Adj,:,17,98,0.94
fascinating,Adj,:,17,99,0.92
surrounding,Adj,:,17,97,0.94
super,Adj,:,16,96,0.89
lively,Adj,%,16,97,0.92
indirect,Adj,:,16,88,0.88
content,Adj,:,16,98,0.94
isolated,Adj,:,16,99,0.91
advisory,Adj,:,16,88,0.9
geographical,Adj,:,16,88,0.89
dynamic,Adj,:,16,90,0.9
impressed,Adj,:,16,100,0.96
gay,Adj,%,16,89,0.76
notable,Adj,:,16,93,0.92
accessible,Adj,:,16,96,0.88
definite,Adj,:,16,100,0.95
post-war,Adj,:,16,88,0.88
hostile,Adj,:,16,96,0.94
artistic,Adj,:,16,97,0.9
unfortunate,Adj,:,16,100,0.96
drunk,Adj,%,16,94,0.89
provincial,Adj,:,16,94,0.89
mature,Adj,%,16,98,0.91
endless,Adj,:,16,99,0.94
smart,Adj,%,16,99,0.93
like,Adj,:,16,99,0.94
excited,Adj,:,16,99,0.91
technological,Adj,:,16,89,0.89
precious,Adj,:,16,99,0.89
neutral,Adj,:,16,98,0.91
forthcoming,Adj,:,16,98,0.93
boring,Adj,%,16,98,0.91
wealthy,Adj,%,16,98,0.94
stiff,Adj,%,16,98,0.93
determined,Adj,:,16,99,0.95
kind,Adj,%,16,98,0.9
awkward,Adj,:,16,99,0.94
evil,Adj,:,15,99,0.91
vague,Adj,:,15,100,0.94
colonial,Adj,:,15,89,0.87
naval,Adj,:,15,94,0.89
mid,Adj,%,15,96,0.92
blank,Adj,%,15,98,0.91
magnetic,Adj,:,15,89,0.82
added,Adj,:,15,98,0.94
legitimate,Adj,:,15,97,0.92
well-known,Adj,:,15,96,0.94
polish,Adj,:,15,97,0.74
verbal,Adj,:,15,98,0.9
favourable,Adj,:,15,95,0.93
shallow,Adj,%,15,100,0.93
profound,Adj,%,15,94,0.93
shared,Adj,:,15,97,0.92
depressed,Adj,:,15,100,0.94
missing,Adj,:,15,100,0.95
representative,Adj,:,15,88,0.91
empirical,Adj,:,15,70,0.85
developed,Adj,:,15,92,0.9
sympathetic,Adj,:,15,99,0.95
ambitious,Adj,:,15,98,0.94
head,Adj,:,15,98,0.91
absent,Adj,:,15,98,0.94
qualified,Adj,:,15,97,0.9
israeli,Adj,:,15,68,0.67
shocked,Adj,:,15,100,0.91
worthwhile,Adj,:,15,100,0.94
cruel,Adj,%,14,100,0.91
ugly,Adj,%,14,99,0.92
neighbouring,Adj,:,14,96,0.92
bold,Adj,%,14,99,0.95
allied,Adj,:,14,92,0.84
planned,Adj,:,14,92,0.9
rigid,Adj,:,14,99,0.94
uncomfortable,Adj,:,14,100,0.92
immense,Adj,:,14,96,0.94
orange,Adj,:,14,97,0.92
coastal,Adj,:,14,94,0.86
peculiar,Adj,:,14,99,0.94
crude,Adj,%,14,98,0.93
running,Adj,:,14,100,0.94
irrelevant,Adj,:,14,98,0.93
fatal,Adj,:,14,100,0.93
conservation,Adj,:,14,76,0.81
mobile,Adj,:,14,100,0.92
applicable,Adj,:,14,87,0.87
overwhelming,Adj,:,14,97,0.95
registered,Adj,:,14,95,0.8
relaxed,Adj,:,14,100,0.94
suspicious,Adj,:,14,100,0.93
comparative,Adj,:,14,94,0.85
corresponding,Adj,:,14,86,0.88
