Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
at_first,Adv,:,41,99,0.94
late,Adv,:,41,100,0.96
heavily,Adv,:,41,100,0.96
anywhere,Adv,:,41,100,0.95
quietly,Adv,:,41,100,0.86
a_lot,Adv,:,40,99,0.93
firmly,Adv,:,40,99,0.94
gently,Adv,:,40,98,0.88
occasionally,Adv,:,40,99,0.95
less_than,Adv,:,40,100,0.94
regularly,Adv,:,39,100,0.94
abroad,Adv,:,39,100,0.94
mostly,Adv,:,39,100,0.96
shortly,Adv,:,38,100,0.96
initially,Adv,:,38,100,0.93
specifically,Adv,:,38,100,0.93
gradually,Adv,:,37,100,0.95
no_doubt,Adv,:,37,99,0.95
once_again,Adv,:,37,100,0.96
deeply,Adv,:,37,100,0.94
subsequently,Adv,:,37,96,0.91
aside,Adv,:,36,100,0.93
at_once,Adv,:,36,100,0.9
essentially,Adv,:,36,98,0.92
apart,Adv,:,35,100,0.95
across,Adv,:,35,99,0.9
precisely,Adv,:,35,100,0.94
successfully,Adv,:,34,98,0.92
behind,Adv,:,34,100,0.94
presumably,Adv,:,33,100,0.95
greatly,Adv,:,33,100,0.94
briefly,Adv,:,33,100,0.94
longer,Adv,:,33,100,0.96
respectively,Adv,:,32,87,0.88
by,Adv,:,32,99,0.94
everywhere,Adv,:,32,100,0.95
truly,Adv,:,32,100,0.95
altogether,Adv,:,32,100,0.96
definitely,Adv,:,32,100,0.91
whenever,Adv,:,32,100,0.96
primarily,Adv,:,31,94,0.92
reasonably,Adv,:,31,100,0.92
basically,Adv,:,31,100,0.86
inevitably,Adv,:,31,97,0.93
constantly,Adv,:,31,100,0.95
secondly,Adv,:,29,96,0.92
since,Adv,:,29,100,0.96
furthermore,Adv,:,29,92,0.9
at_present,Adv,:,29,98,0.93
considerably,Adv,:,29,100,0.94
ultimately,Adv,:,29,96,0.93
approximately,Adv,:,28,96,0.91
readily,Adv,:,28,97,0.92
deliberately,Adv,:,28,100,0.95
automatically,Adv,:,28,100,0.93
newly,Adv,:,27,100,0.94
deep,Adv,:,27,100,0.92
personally,Adv,:,27,100,0.96
thereby,Adv,:,27,93,0.92
sufficiently,Adv,:,26,98,0.93
closer,Adv,:,26,100,0.92
surprisingly,Adv,:,26,99,0.95
purely,Adv,:,26,100,0.94
commonly,Adv,:,26,96,0.91
sharply,Adv,:,25,95,0.92
upstairs,Adv,:,25,93,0.86
consequently,Adv,:,25,99,0.92
softly,Adv,:,25,86,0.78
potentially,Adv,:,24,97,0.94
pm,Adv,%,24,95,0.87
undoubtedly,Adv,:,24,98,0.94
notably,Adv,:,24,92,0.9
once_more,Adv,:,24,100,0.9
nowhere,Adv,:,24,99,0.94
barely,Adv,:,23,100,0.91
roughly,Adv,:,23,100,0.94
wherever,Adv,:,23,99,0.96
accordingly,Adv,:,23,100,0.86
namely,Adv,:,22,93,0.9
by_now,Adv,:,22,99,0.92
formally,Adv,:,22,97,0.88
wholly,Adv,:,22,97,0.92
past,Adv,:,21,99,0.93
in_part,Adv,:,21,93,0.92
thoroughly,Adv,:,21,100,0.95
am,Adv,%,21,90,0.92
traditionally,Adv,:,21,94,0.93
typically,Adv,:,21,98,0.91
lightly,Adv,:,20,99,0.89
whereby,Adv,:,20,95,0.92
desperately,Adv,:,20,99,0.91
literally,Adv,:,20,99,0.96
any,Adv,:,20,100,0.93
specially,Adv,:,20,100,0.95
formerly,Adv,:,20,93,0.92
bloody,Adv,:,20,90,0.77
physically,Adv,:,20,100,0.96
mentally,Adv,:,20,99,0.83
strictly,Adv,:,20,99,0.94
sadly,Adv,:,19,98,0.94
