Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
restaurant,NoC,%,51,100,0.88
request,NoC,%,51,99,0.93
engineering,NoC,%,51,100,0.9
surprise,NoC,%,51,100,0.93
Lake,NoC,%,51,100,0.91
foundation,NoC,%,51,99,0.91
Square,NoC,%,51,100,0.95
walk,NoC,%,51,100,0.91
pub,NoC,%,51,100,0.88
tone,NoC,%,51,100,0.9
fruit,NoC,%,51,100,0.92
specialist,NoC,%,51,100,0.93
device,NoC,%,51,99,0.91
leaf,NoC,%,51,99,0.91
billion,NoC,%,51,95,0.82
deputy,NoC,%,51,99,0.75
characteristic,NoC,%,51,100,0.91
chain,NoC,%,50,100,0.91
observation,NoC,%,50,99,0.89
creation,NoC,%,50,98,0.92
circle,NoC,%,50,100,0.95
fall,NoC,%,50,100,0.94
shot,NoC,%,50,100,0.9
strike,NoC,%,50,100,0.87
present,NoC,%,50,100,0.95
championship,NoC,%,49,88,0.82
enemy,NoC,%,49,100,0.91
revolution,NoC,%,49,100,0.91
defendant,NoC,%,49,82,0.68
marketing,NoC,%,49,96,0.88
neighbour,NoC,%,49,100,0.95
mass,NoC,%,49,100,0.92
impression,NoC,%,49,100,0.96
clause,NoC,%,49,97,0.66
desk,NoC,%,49,100,0.88
coast,NoC,%,49,100,0.93
panel,NoC,%,49,100,0.91
mechanism,NoC,%,49,97,0.9
fashion,NoC,%,49,100,0.94
distinction,NoC,%,49,98,0.9
tear,NoC,%,49,100,0.88
atmosphere,NoC,%,49,100,0.93
leadership,NoC,%,49,96,0.88
god,NoC,%,49,98,0.87
negotiation,NoC,%,48,99,0.85
nose,NoC,%,48,100,0.9
servant,NoC,%,48,100,0.93
beach,NoC,%,48,99,0.87
milk,NoC,%,48,100,0.92
fan,NoC,%,48,98,0.86
origin,NoC,%,48,99,0.92
iron,NoC,%,48,100,0.94
tank,NoC,%,48,100,0.78
advance,NoC,%,48,100,0.93
establishment,NoC,%,48,98,0.93
welfare,NoC,%,48,100,0.91
motor,NoC,%,48,100,0.86
ticket,NoC,%,48,100,0.91
soil,NoC,%,48,100,0.86
drawing,NoC,%,48,100,0.87
dress,NoC,%,48,100,0.9
engineer,NoC,%,48,100,0.89
roof,NoC,%,48,100,0.93
potential,NoC,%,48,100,0.93
liability,NoC,%,48,95,0.74
shoe,NoC,%,48,100,0.91
fuel,NoC,%,47,100,0.88
bone,NoC,%,47,100,0.88
warning,NoC,%,47,100,0.94
expense,NoC,%,47,100,0.93
palace,NoC,%,47,100,0.84
round,NoC,%,47,99,0.87
citizen,NoC,%,47,100,0.92
Chief,NoC,%,47,99,0.89
convention,NoC,%,47,97,0.86
cancer,NoC,%,47,98,0.84
editor,NoC,%,47,97,0.9
General,NoC,%,47,100,0.92
gift,NoC,%,47,100,0.94
prisoner,NoC,%,47,100,0.89
champion,NoC,%,47,99,0.84
significance,NoC,%,47,100,0.92
height,NoC,%,47,100,0.94
vision,NoC,%,47,100,0.92
trend,NoC,%,47,95,0.92
diet,NoC,%,46,100,0.84
signal,NoC,%,46,100,0.9
parish,NoC,%,46,100,0.87
lawyer,NoC,%,46,100,0.9
co,NoC,%,46,94,0.78
expectation,NoC,%,46,99,0.9
comparison,NoC,%,46,99,0.92
cross,NoC,%,46,100,0.94
rail,NoC,%,46,100,0.9
living,NoC,%,46,100,0.96
knee,NoC,%,46,98,0.9
democracy,NoC,%,46,97,0.86
working,NoC,%,46,100,0.94
lesson,NoC,%,46,100,0.95
achievement,NoC,%,46,98,0.93
