Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
correctly,Adv,:,19,100,0.93
ok,Adv,%,19,91,0.86
hopefully,Adv,:,19,99,0.91
backwards,Adv,:,18,99,0.92
forever,Adv,:,18,99,0.92
over_there,Adv,:,18,89,0.8
severely,Adv,:,18,98,0.94
locally,Adv,:,18,99,0.92
officially,Adv,:,18,100,0.91
besides,Adv,:,18,97,0.9
happily,Adv,:,18,98,0.94
sooner,Adv,:,18,100,0.93
simultaneously,Adv,:,18,99,0.93
separately,Adv,:,18,100,0.93
downstairs,Adv,:,17,88,0.87
firstly,Adv,:,17,97,0.92
from_time_to_time,Adv,:,17,98,0.94
scarcely,Adv,:,17,92,0.92
substantially,Adv,:,17,89,0.92
steadily,Adv,:,17,96,0.94
solely,Adv,:,17,96,0.93
safely,Adv,:,17,100,0.94
no,Adv,:,17,100,0.94
faster,Adv,:,17,100,0.94
exclusively,Adv,:,17,96,0.93
tightly,Adv,:,17,99,0.88
politically,Adv,:,17,95,0.92
alternatively,Adv,:,17,92,0.91
invariably,Adv,:,16,99,0.93
nowadays,Adv,:,16,99,0.94
broadly,Adv,:,16,93,0.93
hitherto,Adv,:,16,94,0.83
fortunately,Adv,:,16,100,0.95
by_no_means,Adv,:,16,96,0.92
instantly,Adv,:,16,98,0.91
upwards,Adv,:,16,100,0.92
near,Adv,:,16,100,0.93
publicly,Adv,:,16,97,0.93
freely,Adv,:,16,100,0.95
half,Adv,:,16,100,0.92
consistently,Adv,:,16,94,0.94
reportedly,Adv,:,15,67,0.63
differently,Adv,:,15,100,0.95
actively,Adv,:,15,96,0.93
evidently,Adv,:,15,98,0.92
seldom,Adv,:,15,97,0.94
rightly,Adv,:,15,99,0.91
remarkably,Adv,:,15,98,0.94
regardless,Adv,:,15,99,0.94
dramatically,Adv,:,15,99,0.95
even_so,Adv,:,15,100,0.94
socially,Adv,:,15,98,0.89
thereafter,Adv,:,14,95,0.91
a_great_deal,Adv,:,14,96,0.95
independently,Adv,:,14,95,0.92
honestly,Adv,:,14,98,0.89
nearby,Adv,:,14,98,0.92
as_yet,Adv,:,14,100,0.95
daily,Adv,:,14,99,0.92
accurately,Adv,:,14,99,0.93
just_about,Adv,:,14,97,0.93
genuinely,Adv,:,14,100,0.96
practically,Adv,:,14,100,0.95
onwards,Adv,:,14,100,0.92
on_board,Adv,:,14,98,0.94
partially,Adv,:,13,97,0.93
positively,Adv,:,13,98,0.95
temporarily,Adv,:,13,98,0.95
forth,Adv,:,13,99,0.93
for_ever,Adv,%,13,98,0.91
repeatedly,Adv,:,13,97,0.94
utterly,Adv,:,13,98,0.92
overall,Adv,:,13,86,0.92
forwards,Adv,:,13,97,0.82
as_usual,Adv,:,13,100,0.92
neatly,Adv,:,13,98,0.93
continually,Adv,:,13,99,0.94
within,Adv,:,13,99,0.94
nonetheless,Adv,:,13,91,0.91
in_short,Adv,:,13,92,0.87
terribly,Adv,:,13,97,0.91
explicitly,Adv,:,13,86,0.89
importantly,Adv,:,13,98,0.94
abruptly,Adv,:,12,88,0.83
ideally,Adv,:,12,100,0.93
likewise,Adv,:,12,96,0.93
overnight,Adv,:,12,99,0.94
beautifully,Adv,:,12,97,0.93
seemingly,Adv,:,12,97,0.95
alike,Adv,:,12,97,0.94
beyond,Adv,:,12,97,0.93
comparatively,Adv,:,12,96,0.92
legally,Adv,:,12,100,0.93
overseas,Adv,:,12,92,0.91
fucking,Adv,:,12,52,0.47
privately,Adv,:,12,100,0.94
worldwide,Adv,:,12,88,0.87
permanently,Adv,:,12,100,0.94
swiftly,Adv,:,12,95,0.88
easier,Adv,:,12,100,0.95
