Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
inner,Adj,:,45,99,0.92
negative,Adj,:,45,99,0.91
permanent,Adj,:,45,100,0.94
criminal,Adj,:,44,98,0.87
sick,Adj,%,44,100,0.93
massive,Adj,:,44,100,0.95
contemporary,Adj,:,44,96,0.89
roman,Adj,:,44,100,0.89
near,Adj,%,44,100,0.97
sharp,Adj,:,44,100,0.95
subsequent,Adj,:,43,95,0.92
angry,Adj,%,43,100,0.89
secondary,Adj,:,43,99,0.9
african,Adj,:,43,99,0.88
unknown,Adj,:,43,100,0.73
parliamentary,Adj,:,43,92,0.87
alive,Adj,:,43,100,0.93
unique,Adj,:,43,99,0.93
communist,Adj,:,42,94,0.81
well,Adj,%,42,100,0.94
guilty,Adj,%,42,100,0.92
enormous,Adj,:,42,100,0.96
lucky,Adj,%,42,98,0.93
remaining,Adj,:,41,97,0.93
extensive,Adj,:,41,98,0.92
agricultural,Adj,:,41,97,0.89
yellow,Adj,%,41,99,0.94
glad,Adj,%,41,98,0.9
net,Adj,%,41,97,0.76
dear,Adj,%,41,100,0.9
long-term,Adj,:,41,98,0.92
tough,Adj,%,41,100,0.93
unusual,Adj,:,41,100,0.96
comfortable,Adj,:,40,100,0.94
tired,Adj,:,40,99,0.9
efficient,Adj,:,40,100,0.93
healthy,Adj,%,40,100,0.92
principal,Adj,:,40,97,0.89
italian,Adj,:,40,100,0.91
chinese,Adj,:,40,99,0.88
alright,Adj,:,40,73,0.63
willing,Adj,:,39,100,0.97
relative,Adj,:,39,99,0.9
sudden,Adj,:,39,100,0.9
slight,Adj,%,39,100,0.94
friendly,Adj,%,39,100,0.94
voluntary,Adj,:,39,98,0.9
golden,Adj,:,39,100,0.94
valuable,Adj,:,39,100,0.94
conventional,Adj,:,39,99,0.93
proposed,Adj,:,39,97,0.91
dramatic,Adj,:,39,100,0.94
temporary,Adj,:,38,100,0.83
silent,Adj,:,38,100,0.88
video-taped,Adj,:,38,9,0.21
federal,Adj,:,38,89,0.76
flat,Adj,%,38,99,0.95
keen,Adj,%,38,100,0.95
indian,Adj,:,38,100,0.91
worried,Adj,:,38,100,0.93
pale,Adj,%,38,97,0.88
statutory,Adj,:,37,95,0.86
competitive,Adj,:,37,94,0.91
outside,Adj,:,37,100,0.96
wet,Adj,%,37,99,0.93
armed,Adj,:,37,98,0.75
welsh,Adj,:,37,100,0.88
firm,Adj,%,37,100,0.96
dependent,Adj,:,37,97,0.91
radical,Adj,:,37,95,0.91
pure,Adj,%,36,99,0.95
false,Adj,:,36,100,0.95
rapid,Adj,:,36,97,0.93
living,Adj,:,36,100,0.92
secret,Adj,:,36,100,0.93
global,Adj,:,36,92,0.83
emotional,Adj,:,36,99,0.93
sweet,Adj,%,36,100,0.92
fixed,Adj,:,36,100,0.92
acceptable,Adj,:,36,99,0.94
adequate,Adj,:,36,98,0.93
sad,Adj,%,36,100,0.94
sensitive,Adj,:,36,100,0.94
surprising,Adj,:,35,100,0.95
wooden,Adj,:,35,97,0.92
absolute,Adj,%,35,100,0.95
brilliant,Adj,:,35,100,0.93
rough,Adj,%,35,100,0.94
remarkable,Adj,:,35,100,0.94
mass,Adj,:,35,98,0.91
mere,Adj,%,35,99,0.95
comprehensive,Adj,:,35,99,0.92
administrative,Adj,:,35,98,0.9
maximum,Adj,:,35,100,0.93
solid,Adj,:,35,100,0.95
continuing,Adj,:,34,98,0.92
spanish,Adj,%,34,100,0.91
tory,Adj,:,34,92,0.83
visual,Adj,:,34,95,0.87
electronic,Adj,:,34,99,0.85
