Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
after,Prep,:,927,100,0.96
between,Prep,:,903,100,0.95
many,DetP,:,902,100,0.96
er,Uncl,:,896,78,0.67
those,DetP,:,888,100,0.96
because,Conj,:,852,100,0.94
down,Adv,:,845,100,0.94
yeah,Int,:,834,80,0.64
three,Num,%,800,100,0.95
back,Adv,:,793,100,0.93
thing,NoC,%,776,100,0.92
tell,Verb,%,775,100,0.93
such,DetP,:,763,100,0.95
on,Adv,:,756,100,0.93
there,Adv,%,746,100,0.88
through,Prep,:,743,100,0.98
over,Prep,:,735,100,0.98
must,VMod,:,723,100,0.97
still,Adv,:,718,100,0.97
even,Adv,:,716,100,0.97
child,NoC,%,710,100,0.94
too,Adv,:,701,100,0.95
put,Verb,%,700,100,0.93
here,Adv,:,699,100,0.93
more,DetP,:,699,100,0.98
own,DetP,%,695,100,0.97
last,Num,:,691,100,0.93
oh,Int,:,684,99,0.7
mean,Verb,%,677,100,0.9
become,Verb,%,675,100,0.96
MR,NoC,%,673,100,0.84
government,NoC,%,670,100,0.88
no,Int,%,662,100,0.75
work,NoC,%,653,100,0.96
old,Adj,%,648,100,0.95
leave,Verb,%,647,100,0.96
work,Verb,%,646,100,0.97
life,NoC,%,645,100,0.96
great,Adj,%,635,100,0.97
woman,NoC,%,631,100,0.95
where,Adv,:,628,100,0.95
need,Verb,%,627,100,0.97
erm,Uncl,:,627,45,0.68
feel,Verb,%,624,100,0.93
seem,Verb,%,624,100,0.96
system,NoC,%,619,100,0.89
same,DetP,:,615,100,0.98
might,VMod,:,614,100,0.97
case,NoC,%,613,100,0.92
part,NoC,%,612,100,0.97
ask,Verb,%,610,100,0.94
group,NoC,%,607,100,0.94
yes,Int,:,606,100,0.8
number,NoC,%,606,100,0.95
however,Adv,:,605,100,0.94
world,NoC,%,600,100,0.96
show,Verb,%,598,100,0.95
house,NoC,%,598,100,0.95
area,NoC,%,585,100,0.93
over,Adv,:,584,100,0.89
another,DetP,:,581,100,0.98
company,NoC,%,579,100,0.91
high,Adj,%,574,100,0.96
in,Adv,:,573,100,0.94
as,Adv,:,567,100,0.98
problem,NoC,%,565,100,0.95
most,Adv,:,565,100,0.96
against,Prep,:,562,100,0.96
again,Adv,:,561,100,0.94
never,Adv,:,559,100,0.94
under,Prep,:,553,100,0.95
try,Verb,%,552,100,0.95
service,NoC,%,549,100,0.93
call,Verb,%,535,100,0.97
Place,NoC,%,534,100,0.98
hand,NoC,%,532,100,0.92
much,DetP,:,531,100,0.97
school,NoC,%,529,100,0.93
party,NoC,%,529,100,0.88
something,Pron,:,526,100,0.92
small,Adj,%,518,100,0.97
why,Adv,:,509,100,0.92
each,DetP,:,508,100,0.95
keep,Verb,%,505,100,0.96
provide,Verb,%,505,100,0.94
while,Conj,:,503,100,0.97
out_of,Prep,:,491,100,0.95
off,Adv,:,486,100,0.94
country,NoC,%,486,100,0.93
different,Adj,:,484,100,0.95
point,NoC,%,484,100,0.95
really,Adv,:,481,100,0.89
hold,Verb,%,481,100,0.96
',Gen,:,479,100,0.95
week,NoC,%,476,100,0.94
member,NoC,%,471,100,0.9
large,Adj,%,471,100,0.95
turn,Verb,%,465,100,0.93
four,Num,%,465,100,0.93
always,Adv,:,462,100,0.96
