Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
so,Adv,:,1893,100,0.93
up,Adv,:,1795,100,0.95
then,Adv,:,1595,100,0.94
out,Adv,:,1542,100,0.96
now,Adv,:,1382,100,0.95
only,Adv,:,1298,100,0.98
just,Adv,:,1277,100,0.92
more,Adv,:,1275,100,0.96
also,Adv,:,1248,100,0.95
very,Adv,:,1165,100,0.95
well,Adv,:,1119,100,0.85
how,Adv,:,1016,100,0.95
down,Adv,:,845,100,0.94
back,Adv,:,793,100,0.93
on,Adv,:,756,100,0.93
there,Adv,%,746,100,0.88
still,Adv,:,718,100,0.97
even,Adv,:,716,100,0.97
too,Adv,:,701,100,0.95
here,Adv,:,699,100,0.93
where,Adv,:,628,100,0.95
however,Adv,:,605,100,0.94
over,Adv,:,584,100,0.89
in,Adv,:,573,100,0.94
as,Adv,:,567,100,0.98
most,Adv,:,565,100,0.96
again,Adv,:,561,100,0.94
never,Adv,:,559,100,0.94
why,Adv,:,509,100,0.92
off,Adv,:,486,100,0.94
really,Adv,:,481,100,0.89
always,Adv,:,462,100,0.96
about,Adv,:,447,100,0.97
when,Adv,:,431,100,0.98
quite,Adv,:,412,100,0.93
much,Adv,:,390,100,0.97
both,Adv,:,378,100,0.95
often,Adv,:,376,100,0.94
away,Adv,:,371,100,0.92
perhaps,Adv,:,350,100,0.96
right,Adv,:,346,100,0.8
already,Adv,:,343,100,0.98
yet,Adv,:,337,100,0.97
later,Adv,:,317,100,0.97
almost,Adv,:,316,100,0.96
of_course,Adv,%,310,100,0.94
far,Adv,%,310,100,0.98
together,Adv,:,308,100,0.98
probably,Adv,:,273,100,0.95
today,Adv,:,263,100,0.93
actually,Adv,:,260,100,0.86
ever,Adv,:,259,100,0.95
at_least,Adv,:,257,100,0.98
enough,Adv,:,244,100,0.95
less,Adv,:,243,100,0.95
for_example,Adv,:,239,100,0.92
therefore,Adv,:,232,100,0.93
particularly,Adv,:,220,100,0.95
either,Adv,:,220,100,0.97
around,Adv,:,215,100,0.96
rather,Adv,:,213,100,0.96
else,Adv,:,209,100,0.93
thus,Adv,:,205,100,0.91
sometimes,Adv,:,205,100,0.96
ago,Adv,:,198,100,0.94
yesterday,Adv,:,195,98,0.79
home,Adv,:,194,100,0.93
all,Adv,:,193,100,0.96
usually,Adv,:,191,100,0.95
indeed,Adv,:,188,100,0.95
certainly,Adv,:,186,100,0.95
once,Adv,:,183,100,0.96
long,Adv,:,181,100,0.96
simply,Adv,:,177,100,0.96
especially,Adv,:,177,100,0.95
soon,Adv,:,161,100,0.96
clearly,Adv,:,153,100,0.95
more_than,Adv,:,148,100,0.93
at_all,Adv,:,148,100,0.94
further,Adv,:,144,100,0.97
before,Adv,%,143,100,0.94
better,Adv,:,143,100,0.95
round,Adv,:,138,100,0.89
forward,Adv,:,137,100,0.95
please,Adv,:,133,99,0.91
finally,Adv,:,130,100,0.97
quickly,Adv,:,124,100,0.95
recently,Adv,:,123,100,0.95
anyway,Adv,:,122,100,0.86
a_bit,Adv,:,119,99,0.87
suddenly,Adv,:,118,100,0.88
generally,Adv,:,116,100,0.93
nearly,Adv,:,115,100,0.97
as_well,Adv,%,113,100,0.87
obviously,Adv,:,110,99,0.93
exactly,Adv,:,107,100,0.95
okay,Adv,:,105,76,0.68
maybe,Adv,:,105,99,0.9
a_little,Adv,:,104,100,0.92
immediately,Adv,:,102,100,0.97
