Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
specified,Adj,:,12,82,0.76
manual,Adj,:,12,95,0.88
subjective,Adj,:,12,80,0.85
passing,Adj,:,12,100,0.95
cheerful,Adj,:,12,95,0.91
instant,Adj,:,12,99,0.94
relieved,Adj,:,12,99,0.92
binding,Adj,:,12,86,0.73
surviving,Adj,:,12,96,0.9
adverse,Adj,:,12,89,0.9
incredible,Adj,:,12,99,0.94
fashionable,Adj,:,12,97,0.94
old-fashioned,Adj,:,12,98,0.92
spatial,Adj,:,12,66,0.82
territorial,Adj,:,12,93,0.85
horizontal,Adj,:,12,91,0.89
gothic,Adj,:,12,88,0.78
regulatory,Adj,:,12,72,0.86
probable,Adj,:,12,96,0.92
scared,Adj,:,12,92,0.89
amateur,Adj,:,12,96,0.9
redundant,Adj,:,12,98,0.92
causal,Adj,:,12,64,0.72
unaware,Adj,:,12,97,0.94
static,Adj,:,12,98,0.87
then,Adj,:,12,100,0.9
unacceptable,Adj,:,12,91,0.93
prior,Adj,:,12,95,0.9
polite,Adj,%,12,98,0.9
toxic,Adj,:,12,88,0.78
korean,Adj,:,12,66,0.72
civilian,Adj,:,12,95,0.84
marxist,Adj,:,12,74,0.82
respectable,Adj,:,12,99,0.92
decisive,Adj,:,12,98,0.92
unconscious,Adj,:,12,96,0.9
fond,Adj,%,12,99,0.9
wee,Adj,:,12,83,0.75
fantastic,Adj,:,12,99,0.93
orthodox,Adj,:,12,95,0.9
architectural,Adj,:,12,92,0.86
respective,Adj,:,12,96,0.92
foolish,Adj,:,12,98,0.9
select,Adj,:,12,95,0.83
anonymous,Adj,:,12,99,0.86
forward,Adj,:,12,99,0.9
tragic,Adj,:,12,98,0.92
implicit,Adj,:,12,92,0.86
psychiatric,Adj,:,11,89,0.8
embarrassing,Adj,:,11,99,0.94
aggregate,Adj,:,11,70,0.63
autonomous,Adj,:,11,75,0.85
sporting,Adj,:,11,94,0.88
exotic,Adj,:,11,96,0.93
intimate,Adj,:,11,98,0.93
wicked,Adj,:,11,96,0.87
thorough,Adj,:,11,98,0.94
injured,Adj,:,11,95,0.89
arbitrary,Adj,:,11,94,0.89
novel,Adj,:,11,91,0.91
frozen,Adj,:,11,99,0.92
unchanged,Adj,:,11,93,0.91
confidential,Adj,:,11,99,0.86
rising,Adj,:,11,100,0.94
coming,Adj,:,11,99,0.93
bizarre,Adj,:,11,96,0.93
evolutionary,Adj,:,11,77,0.83
noisy,Adj,%,11,99,0.93
formidable,Adj,:,11,93,0.94
visiting,Adj,:,11,99,0.94
protestant,Adj,:,11,86,0.78
underground,Adj,:,11,97,0.91
colourful,Adj,:,11,96,0.91
balanced,Adj,:,11,94,0.93
outdoor,Adj,:,11,92,0.88
ethical,Adj,:,11,84,0.84
weird,Adj,:,11,91,0.87
renewed,Adj,:,11,95,0.89
disastrous,Adj,:,11,98,0.94
disciplinary,Adj,:,11,84,0.84
cautious,Adj,:,11,99,0.95
worrying,Adj,:,11,98,0.94
appalling,Adj,:,11,99,0.92
rolling,Adj,:,11,97,0.92
homeless,Adj,:,11,98,0.88
dying,Adj,:,11,98,0.92
retired,Adj,:,11,100,0.93
supporting,Adj,:,11,97,0.92
rubber,Adj,:,11,98,0.93
purple,Adj,%,11,95,0.92
coherent,Adj,:,11,97,0.9
accused,Adj,:,11,82,0.49
large-scale,Adj,:,11,84,0.9
lexical,Adj,:,11,36,0.67
shy,Adj,%,11,96,0.93
delicious,Adj,:,11,87,0.9
delightful,Adj,:,11,96,0.91
glorious,Adj,:,11,97,0.93
uniform,Adj,:,11,98,0.91
grim,Adj,%,11,94,0.91
