Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
play,NoC,%,79,100,0.94
adult,NoC,%,79,100,0.93
consideration,NoC,%,78,100,0.9
proportion,NoC,%,78,100,0.92
fig,NoC,%,78,92,0.79
assessment,NoC,%,78,100,0.9
speed,NoC,%,78,100,0.93
beginning,NoC,%,78,100,0.96
route,NoC,%,78,100,0.92
understanding,NoC,%,77,100,0.92
impact,NoC,%,77,99,0.92
credit,NoC,%,77,100,0.84
reaction,NoC,%,76,100,0.92
half,NoC,%,76,100,0.94
video,NoC,%,76,100,0.9
path,NoC,%,76,100,0.93
danger,NoC,%,76,100,0.96
flower,NoC,%,76,100,0.91
track,NoC,%,76,100,0.92
progress,NoC,:,76,100,0.94
skin,NoC,%,75,99,0.92
content,NoC,%,75,100,0.93
gold,NoC,%,75,100,0.94
distance,NoC,%,75,100,0.96
belief,NoC,%,75,99,0.91
politics,NoC,:,75,100,0.91
aim,NoC,%,75,100,0.92
comment,NoC,%,75,100,0.94
Justice,NoC,%,75,100,0.88
bag,NoC,%,75,99,0.91
conclusion,NoC,%,75,100,0.93
link,NoC,%,75,100,0.94
winter,NoC,%,74,100,0.93
reality,NoC,%,74,100,0.94
dad,NoC,%,74,97,0.81
sight,NoC,%,74,100,0.94
boat,NoC,%,74,100,0.93
estate,NoC,%,74,100,0.93
wine,NoC,%,74,100,0.9
prison,NoC,%,74,100,0.87
employer,NoC,%,73,100,0.9
writer,NoC,%,73,100,0.92
clothes,NoC,:,73,100,0.91
weekend,NoC,%,73,100,0.9
objective,NoC,%,73,98,0.9
debt,NoC,%,73,100,0.87
vehicle,NoC,%,73,100,0.88
offer,NoC,%,73,100,0.9
colleague,NoC,%,72,99,0.94
package,NoC,%,72,100,0.73
hole,NoC,%,72,100,0.93
telephone,NoC,%,72,100,0.94
expert,NoC,%,72,100,0.84
farmer,NoC,%,72,100,0.89
injury,NoC,%,72,100,0.88
battle,NoC,%,72,100,0.93
phone,NoC,%,71,100,0.91
confidence,NoC,%,71,100,0.95
generation,NoC,%,71,100,0.94
key,NoC,%,71,100,0.92
insurance,NoC,%,71,100,0.9
painting,NoC,%,71,100,0.83
sample,NoC,%,71,99,0.89
judge,NoC,%,70,100,0.82
commitment,NoC,%,70,100,0.93
conflict,NoC,%,70,99,0.92
legislation,NoC,%,70,89,0.9
volume,NoC,%,70,100,0.91
visitor,NoC,%,70,100,0.93
threat,NoC,%,70,99,0.94
drink,NoC,%,70,100,0.92
ship,NoC,%,70,100,0.92
engine,NoC,%,69,100,0.91
cabinet,NoC,%,69,100,0.81
background,NoC,%,69,100,0.95
introduction,NoC,%,69,99,0.93
author,NoC,%,69,99,0.92
manner,NoC,%,69,100,0.96
stuff,NoC,%,69,100,0.87
administration,NoC,%,69,99,0.89
smile,NoC,%,69,99,0.82
victim,NoC,%,69,100,0.91
entry,NoC,%,69,100,0.91
yard,NoC,%,69,100,0.93
Mountain,NoC,%,68,100,0.91
coffee,NoC,%,68,100,0.9
relief,NoC,%,68,100,0.94
regulation,NoC,%,68,100,0.91
Row,NoC,%,68,100,0.88
investigation,NoC,%,68,100,0.91
wage,NoC,%,68,100,0.89
song,NoC,%,68,100,0.89
bus,NoC,%,68,100,0.92
interview,NoC,%,67,100,0.91
consumer,NoC,%,67,96,0.9
exhibition,NoC,%,67,100,0.82
tour,NoC,%,67,100,0.91
tradition,NoC,%,67,100,0.92
traffic,NoC,%,67,100,0.9
category,NoC,%,67,100,0.92
