Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
resist,Verb,%,35,100,0.96
print,Verb,%,35,100,0.91
fire,Verb,%,35,100,0.93
monitor,Verb,%,35,100,0.92
register,Verb,%,35,100,0.92
date,Verb,%,35,100,0.91
celebrate,Verb,%,35,99,0.92
bend,Verb,%,35,99,0.9
breathe,Verb,%,35,100,0.89
organize,Verb,%,34,96,0.91
decline,Verb,%,34,97,0.93
overcome,Verb,%,34,100,0.95
behave,Verb,%,34,100,0.95
swing,Verb,%,34,100,0.89
comprise,Verb,%,34,97,0.91
range,Verb,%,34,99,0.93
detect,Verb,%,34,98,0.88
finance,Verb,%,34,99,0.9
differ,Verb,%,33,98,0.91
pause,Verb,%,33,96,0.84
guarantee,Verb,%,33,100,0.94
resign,Verb,%,33,99,0.81
store,Verb,%,33,100,0.91
rush,Verb,%,33,100,0.92
oppose,Verb,%,33,97,0.9
pack,Verb,%,33,100,0.95
drag,Verb,%,33,100,0.9
waste,Verb,%,33,100,0.93
relax,Verb,%,33,100,0.91
install,Verb,%,32,99,0.9
expose,Verb,%,32,100,0.95
mount,Verb,%,32,99,0.95
sink,Verb,%,32,100,0.92
split,Verb,%,32,100,0.96
compete,Verb,%,32,100,0.93
negotiate,Verb,%,32,100,0.92
whisper,Verb,%,32,85,0.81
found,Verb,%,32,98,0.92
doubt,Verb,%,31,99,0.93
capture,Verb,%,31,98,0.94
bury,Verb,%,31,99,0.92
phone,Verb,%,31,96,0.86
deserve,Verb,%,31,100,0.95
award,Verb,%,31,95,0.91
sweep,Verb,%,31,100,0.93
distribute,Verb,%,31,98,0.89
tackle,Verb,%,31,100,0.93
borrow,Verb,%,31,100,0.93
enhance,Verb,%,31,96,0.93
assure,Verb,%,31,100,0.93
exceed,Verb,%,30,96,0.91
advance,Verb,%,30,100,0.94
emphasise,Verb,%,30,100,0.93
cease,Verb,%,30,100,0.95
concern,Verb,%,30,100,0.94
transform,Verb,%,30,99,0.94
strengthen,Verb,%,30,98,0.93
slide,Verb,%,30,99,0.88
qualify,Verb,%,30,100,0.93
scream,Verb,%,29,98,0.88
lend,Verb,%,29,100,0.94
tear,Verb,%,29,100,0.91
satisfy,Verb,%,29,98,0.93
pose,Verb,%,29,100,0.94
perceive,Verb,%,29,98,0.92
participate,Verb,%,29,97,0.9
practise,Verb,%,29,100,0.93
favour,Verb,%,29,97,0.93
smoke,Verb,%,29,100,0.91
sustain,Verb,%,29,98,0.94
grab,Verb,%,29,98,0.9
adapt,Verb,%,28,100,0.93
dry,Verb,%,28,100,0.93
snap,Verb,%,28,98,0.86
highlight,Verb,%,28,95,0.92
consult,Verb,%,28,99,0.95
shrug,Verb,%,28,82,0.81
outline,Verb,%,28,98,0.94
dig,Verb,%,28,100,0.94
reinforce,Verb,%,28,98,0.93
ban,Verb,%,28,100,0.87
adjust,Verb,%,28,100,0.94
trace,Verb,%,27,100,0.95
plant,Verb,%,27,100,0.9
pretend,Verb,%,27,99,0.9
rid,Verb,%,27,100,0.92
request,Verb,%,27,100,0.91
confine,Verb,%,27,97,0.93
encounter,Verb,%,27,98,0.94
trade,Verb,%,27,100,0.91
wave,Verb,%,27,99,0.87
sail,Verb,%,27,100,0.88
entitle,Verb,%,27,99,0.9
block,Verb,%,27,100,0.95
amount,Verb,%,27,99,0.91
delay,Verb,%,27,99,0.94
absorb,Verb,%,27,99,0.94
fulfil,Verb,%,26,98,0.95
flow,Verb,%,26,100,0.95
process,Verb,%,26,99,0.9
