Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
intend,Verb,%,108,100,0.95
fight,Verb,%,108,100,0.95
miss,Verb,%,108,100,0.94
hit,Verb,%,107,100,0.92
discover,Verb,%,107,100,0.96
drop,Verb,%,107,100,0.95
push,Verb,%,107,100,0.93
prevent,Verb,%,106,100,0.95
refuse,Verb,%,106,100,0.95
regard,Verb,%,105,100,0.94
reveal,Verb,%,104,99,0.94
teach,Verb,%,104,100,0.94
lay,Verb,%,104,100,0.97
state,Verb,%,103,100,0.91
answer,Verb,%,103,100,0.93
operate,Verb,%,103,100,0.94
enable,Verb,%,101,100,0.92
depend,Verb,%,101,100,0.94
record,Verb,%,101,100,0.93
check,Verb,%,100,100,0.95
cost,Verb,%,100,100,0.94
sound,Verb,%,100,100,0.92
complete,Verb,%,100,100,0.94
laugh,Verb,%,98,97,0.86
realise,Verb,%,98,99,0.92
extend,Verb,%,97,100,0.95
notice,Verb,%,96,100,0.93
arise,Verb,%,96,99,0.91
examine,Verb,%,95,100,0.91
fit,Verb,%,95,100,0.94
define,Verb,%,95,99,0.91
study,Verb,%,94,100,0.93
bear,Verb,%,93,100,0.96
sign,Verb,%,93,100,0.9
shake,Verb,%,93,100,0.85
recognise,Verb,%,93,99,0.94
hang,Verb,%,93,100,0.92
attend,Verb,%,91,99,0.94
fly,Verb,%,90,100,0.92
gain,Verb,%,89,100,0.95
perform,Verb,%,88,100,0.92
result,Verb,%,88,100,0.93
travel,Verb,%,88,100,0.96
adopt,Verb,%,87,100,0.93
protect,Verb,%,87,100,0.95
confirm,Verb,%,87,100,0.93
demand,Verb,%,84,100,0.95
stare,Verb,%,84,96,0.82
imagine,Verb,%,83,100,0.93
born,Verb,%,82,100,0.9
attempt,Verb,%,82,100,0.95
beat,Verb,%,82,100,0.9
care,Verb,%,81,100,0.94
associate,Verb,%,81,100,0.9
marry,Verb,%,81,100,0.89
voice,Verb,%,80,96,0.31
collect,Verb,%,80,100,0.96
release,Verb,%,79,100,0.93
employ,Verb,%,79,100,0.94
issue,Verb,%,79,100,0.91
emerge,Verb,%,78,97,0.95
mind,Verb,%,78,99,0.87
mark,Verb,%,77,100,0.96
deny,Verb,%,77,100,0.94
shoot,Verb,%,77,100,0.94
aim,Verb,%,77,100,0.92
supply,Verb,%,76,100,0.93
order,Verb,%,76,100,0.94
appoint,Verb,%,76,100,0.88
drink,Verb,%,75,100,0.92
reply,Verb,%,75,100,0.89
observe,Verb,%,75,99,0.93
settle,Verb,%,74,100,0.96
propose,Verb,%,74,99,0.93
strike,Verb,%,74,100,0.96
link,Verb,%,74,100,0.95
ring,Verb,%,74,100,0.9
ignore,Verb,%,74,100,0.96
respond,Verb,%,73,100,0.96
press,Verb,%,73,100,0.94
arrange,Verb,%,72,100,0.96
survive,Verb,%,72,100,0.95
lift,Verb,%,71,100,0.92
concentrate,Verb,%,71,100,0.96
test,Verb,%,70,100,0.94
cross,Verb,%,70,100,0.94
approach,Verb,%,70,100,0.97
touch,Verb,%,69,100,0.91
charge,Verb,%,69,100,0.94
experience,Verb,%,69,100,0.94
acquire,Verb,%,68,99,0.92
commit,Verb,%,68,100,0.94
threaten,Verb,%,68,100,0.94
prefer,Verb,%,68,100,0.97
repeat,Verb,%,68,100,0.92
demonstrate,Verb,%,68,100,0.94
grant,Verb,%,68,100,0.93
sleep,Verb,%,68,99,0.9
insist,Verb,%,67,100,0.95
launch,Verb,%,67,98,0.91
