Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
other,Adj,:,1336,100,0.97
good,Adj,%,1276,100,0.97
new,Adj,%,1154,100,0.95
old,Adj,%,648,100,0.95
great,Adj,%,635,100,0.97
high,Adj,%,574,100,0.96
small,Adj,%,518,100,0.97
different,Adj,:,484,100,0.95
large,Adj,%,471,100,0.95
local,Adj,:,445,100,0.93
social,Adj,:,422,100,0.9
long,Adj,%,392,100,0.97
important,Adj,:,392,100,0.95
young,Adj,%,379,100,0.96
national,Adj,:,376,100,0.91
british,Adj,:,357,100,0.93
right,Adj,%,354,100,0.89
early,Adj,%,353,100,0.95
possible,Adj,:,342,100,0.95
big,Adj,%,338,100,0.94
little,Adj,:,306,100,0.91
political,Adj,:,306,100,0.9
able,Adj,:,304,100,0.97
late,Adj,%,302,100,0.97
general,Adj,:,301,100,0.93
full,Adj,%,289,100,0.98
far,Adj,%,288,100,0.96
low,Adj,%,286,100,0.95
public,Adj,:,285,100,0.94
available,Adj,:,272,100,0.93
bad,Adj,%,264,100,0.95
main,Adj,:,245,100,0.96
sure,Adj,%,241,100,0.92
clear,Adj,%,239,100,0.96
major,Adj,:,238,100,0.94
economic,Adj,:,236,99,0.88
only,Adj,:,231,100,0.98
likely,Adj,%,228,100,0.95
real,Adj,%,227,100,0.97
black,Adj,%,226,100,0.95
particular,Adj,:,223,100,0.93
international,Adj,:,221,100,0.9
special,Adj,:,220,100,0.96
difficult,Adj,:,220,100,0.96
certain,Adj,:,220,100,0.96
open,Adj,:,219,100,0.95
whole,Adj,:,216,100,0.97
white,Adj,%,207,100,0.95
free,Adj,%,200,100,0.96
short,Adj,%,198,100,0.97
easy,Adj,%,198,100,0.96
strong,Adj,%,197,100,0.97
european,Adj,:,195,100,0.9
central,Adj,:,193,100,0.93
similar,Adj,:,184,100,0.94
human,Adj,:,183,100,0.93
true,Adj,%,183,100,0.97
common,Adj,:,182,100,0.94
necessary,Adj,:,181,100,0.94
single,Adj,:,177,100,0.95
hard,Adj,%,176,100,0.96
personal,Adj,:,176,100,0.94
private,Adj,:,173,100,0.94
poor,Adj,%,166,100,0.96
financial,Adj,:,165,100,0.92
wide,Adj,%,165,100,0.96
foreign,Adj,:,161,100,0.83
simple,Adj,%,159,100,0.95
concerned,Adj,:,158,100,0.95
recent,Adj,:,158,100,0.94
american,Adj,:,157,100,0.92
various,Adj,:,155,100,0.95
close,Adj,%,154,100,0.97
english,Adj,:,150,100,0.94
fine,Adj,%,150,100,0.96
wrong,Adj,%,149,100,0.95
present,Adj,:,148,100,0.94
royal,Adj,:,147,100,0.92
natural,Adj,:,142,100,0.94
individual,Adj,:,136,100,0.93
following,Adj,:,134,100,0.92
french,Adj,%,134,100,0.93
nice,Adj,%,134,100,0.83
current,Adj,:,133,100,0.93
legal,Adj,:,131,100,0.9
labour,Adj,:,131,100,0.84
modern,Adj,:,131,100,0.93
happy,Adj,%,129,100,0.95
final,Adj,:,129,100,0.95
red,Adj,%,126,100,0.95
serious,Adj,:,124,100,0.97
normal,Adj,:,124,100,0.92
previous,Adj,:,123,100,0.94
total,Adj,:,122,100,0.93
significant,Adj,:,121,99,0.91
prime,Adj,:,121,100,0.8
industrial,Adj,:,116,100,0.91
sorry,Adj,%,115,100,0.86
dead,Adj,%,114,100,0.92
specific,Adj,:,113,100,0.92
