Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
football,NoC,%,67,100,0.88
meal,NoC,%,67,100,0.93
dinner,NoC,%,67,100,0.91
wood,NoC,%,67,100,0.93
lip,NoC,%,66,99,0.83
construction,NoC,%,66,100,0.92
tv,NoC,%,66,97,0.88
bridge,NoC,%,66,100,0.94
contrast,NoC,%,66,99,0.92
improvement,NoC,%,66,100,0.92
existence,NoC,%,66,98,0.93
distribution,NoC,%,66,97,0.9
appearance,NoC,%,66,100,0.94
description,NoC,%,66,100,0.92
sheet,NoC,%,66,100,0.95
housing,NoC,%,66,100,0.9
session,NoC,%,66,100,0.91
flat,NoC,%,66,100,0.88
gentleman,NoC,%,66,98,0.61
discipline,NoC,%,66,100,0.61
representative,NoC,%,65,99,0.88
conversation,NoC,%,65,100,0.92
code,NoC,%,65,100,0.89
Prince,NoC,%,65,100,0.91
audience,NoC,%,65,100,0.94
theatre,NoC,%,65,100,0.92
loan,NoC,%,65,100,0.89
crisis,NoC,%,65,100,0.9
asset,NoC,%,64,98,0.87
rain,NoC,%,64,100,0.86
explanation,NoC,%,64,99,0.92
unemployment,NoC,:,64,99,0.88
writing,NoC,%,64,100,0.92
magazine,NoC,%,64,100,0.94
plate,NoC,%,64,99,0.91
freedom,NoC,%,64,100,0.94
pension,NoC,%,64,100,0.87
limit,NoC,%,64,100,0.94
respect,NoC,%,64,100,0.95
Flight,NoC,%,64,100,0.92
dream,NoC,%,63,100,0.9
selection,NoC,%,63,100,0.92
victory,NoC,%,63,100,0.89
youth,NoC,%,63,100,0.93
spring,NoC,%,63,100,0.95
challenge,NoC,%,63,100,0.94
capacity,NoC,%,63,100,0.94
finance,NoC,%,63,100,0.88
while,NoC,%,63,100,0.91
factory,NoC,%,63,100,0.94
output,NoC,%,62,96,0.86
mark,NoC,%,62,100,0.93
definition,NoC,%,62,100,0.9
decade,NoC,%,62,98,0.93
egg,NoC,%,62,100,0.9
examination,NoC,%,62,100,0.9
aircraft,NoC,%,62,99,0.84
notice,NoC,%,62,100,0.84
intention,NoC,%,62,100,0.94
thanks,NoC,:,62,100,0.92
offence,NoC,%,61,100,0.85
will,NoC,%,61,100,0.95
reduction,NoC,%,61,97,0.91
enterprise,NoC,%,60,99,0.89
neck,NoC,%,60,98,0.89
appointment,NoC,%,60,100,0.91
murder,NoC,%,60,100,0.89
address,NoC,%,60,100,0.94
concentration,NoC,%,60,100,0.79
pp,NoC,%,60,75,0.65
kid,NoC,%,60,97,0.9
weapon,NoC,%,60,100,0.89
bedroom,NoC,%,60,98,0.89
middle,NoC,%,60,100,0.96
run,NoC,%,60,100,0.94
tape,NoC,%,60,100,0.88
bottom,NoC,%,60,100,0.94
birth,NoC,%,59,100,0.89
ear,NoC,%,59,99,0.91
assembly,NoC,%,59,100,0.75
absence,NoC,%,59,100,0.93
wave,NoC,%,59,100,0.91
transfer,NoC,%,59,100,0.87
error,NoC,%,59,100,0.81
store,NoC,%,59,100,0.93
settlement,NoC,%,59,99,0.85
instruction,NoC,%,59,100,0.86
acid,NoC,%,59,100,0.71
module,NoC,%,59,76,0.41
criticism,NoC,%,59,100,0.91
bottle,NoC,%,59,100,0.93
teaching,NoC,%,59,100,0.89
implication,NoC,%,58,99,0.92
channel,NoC,%,58,100,0.92
desire,NoC,%,58,98,0.93
institute,NoC,%,58,98,0.86
weather,NoC,%,58,100,0.95
lead,NoC,%,58,100,0.93
lunch,NoC,%,58,100,0.92
recognition,NoC,%,58,99,0.91
