Lemma,PoS,Freq(ipm),R,D,Doc
успокоить,v,29.1,96,93,1179
кинуться,v,29.0,93,90,856
переставать,v,29.0,100,97,1502
формироваться,v,28.9,97,87,1607
мыть,v,28.8,98,93,1169
заглядывать,v,28.8,99,93,1198
задумываться,v,28.8,100,96,1530
командовать,v,28.8,99,93,989
отобрать,v,28.8,100,96,1434
хохотать,v,28.8,92,90,939
скрыться,v,28.7,100,92,1087
тронуть,v,28.6,97,92,1060
перебить,v,28.6,95,89,830
выжить,v,28.6,99,95,1424
записывать,v,28.6,99,94,1187
выносить,v,28.6,100,94,1471
видать,v,28.6,98,92,1127
прятаться,v,28.4,98,93,1169
размышлять,v,28.4,99,94,1123
располагать,v,28.3,100,94,1675
рваться,v,28.2,100,95,1246
ломать,v,28.2,100,95,1312
беспокоиться,v,28.1,99,93,1113
шептать,v,28.1,95,90,930
оформить,v,28.1,100,95,1600
заканчиваться,v,28.1,100,94,1663
разделять,v,28.0,100,95,1507
миновать,v,28.0,100,94,1191
сформулировать,v,28.0,99,91,1564
поздравлять,v,27.9,95,90,1178
наполнить,v,27.9,99,95,1277
покидать,v,27.9,100,96,1310
потребоваться,v,27.8,100,95,1784
вносить,v,27.8,100,92,1717
коснуться,v,27.8,100,95,1364
блестеть,v,27.8,99,91,1028
вложить,v,27.7,100,96,1639
творить,v,27.7,99,90,1313
прошептать,v,27.7,85,88,682
рассмеяться,v,27.7,90,89,722
понести,v,27.7,100,94,1348
планироваться,v,27.6,93,90,1889
уступать,v,27.6,100,96,1672
обсудить,v,27.5,100,90,1504
оторвать,v,27.5,99,94,1206
убежать,v,27.5,99,92,1051
потянуться,v,27.4,95,91,992
поделиться,v,27.4,100,95,1506
добавлять,v,27.4,100,94,1462
выслушать,v,27.3,99,95,1132
набирать,v,27.3,100,96,1442
отрезать,v,27.3,100,94,1147
заботиться,v,27.2,100,96,1438
почитать,v,27.2,100,93,1268
прижать,v,27.1,97,91,948
походить,v,27.1,98,93,1097
пожелать,v,27.1,100,96,1454
прислушиваться,v,27.1,99,92,1111
потянуть,v,27.1,96,92,1044
вводить,v,27.1,100,91,1554
торговать,v,27.1,99,95,1328
посещать,v,27.1,100,95,1412
избавиться,v,27.0,100,96,1442
рождаться,v,27.0,100,94,1354
гарантировать,v,27.0,99,93,1809
прятать,v,26.9,98,93,1120
ограничить,v,26.9,100,91,1771
предлагаться,v,26.9,99,92,1751
возрасти,v,26.9,99,91,1721
предъявить,v,26.9,99,91,1359
разобрать,v,26.8,100,95,1232
ранить,v,26.8,98,93,990
крутить,v,26.8,98,94,1232
дружить,v,26.7,99,94,1031
уставиться,v,26.7,91,89,740
расстаться,v,26.7,97,95,1153
поглядывать,v,26.6,92,90,853
обсуждаться,v,26.6,100,92,1692
закурить,v,26.6,86,88,767
дожидаться,v,26.5,99,93,1166
сбросить,v,26.5,99,94,1114
кивать,v,26.5,95,91,976
уснуть,v,26.5,95,91,924
сниться,v,26.4,96,93,1021
бормотать,v,26.3,89,90,923
послышаться,v,26.3,92,88,729
расширить,v,26.3,100,83,1548
уточнить,v,26.3,100,95,1311
противоречить,v,26.3,99,90,1423
переехать,v,26.3,100,95,1213
уверять,v,26.2,98,95,1331
сниматься,v,26.2,100,88,935
мучить,v,26.2,98,94,1079
бросаться,v,26.1,99,95,1265
отложить,v,26.1,100,96,1355
отмечаться,v,26.1,95,86,1458
распространяться,v,26.1,100,92,1544
разбудить,v,26.1,97,93,1025
удержаться,v,26.0,97,94,1083
пострадать,v,25.9,100,95,1586
