Lemma,PoS,Freq(ipm),R,D,Doc
воедино,adv,6.4,96,94,470
духовно,adv,6.4,90,89,409
озабоченно,adv,6.4,67,87,268
насильно,adv,6.4,96,94,421
добросовестно,adv,6.4,97,94,436
обильно,adv,6.3,97,94,420
технически,adv,6.3,92,92,467
долой,adv,6.3,96,93,406
подлинно,adv,6.3,88,86,386
незаконно,adv,6.3,89,90,426
инстинктивно,adv,6.3,92,90,337
свыше,adv,6.2,95,93,405
неслышно,adv,6.2,72,88,332
неминуемо,adv,6.2,95,92,384
украдкой,adv,6.2,79,90,346
забавно,adv,6.2,96,94,400
худо,adv,6.2,89,91,333
беспрерывно,adv,6.2,85,92,325
невозмутимо,adv,6.1,80,90,323
бесспорно,adv,6.1,90,92,417
по-детски,adv,6.1,90,92,389
одобрительно,adv,6.1,87,91,355
нарочито,adv,6.1,94,93,367
поразительно,adv,6.1,94,93,389
щас,adv,6.1,64,82,202
крупно,adv,6.1,94,93,378
потенциально,adv,6.0,75,89,441
поочередно,adv,6.0,98,94,394
неуклонно,adv,6.0,97,94,456
внятно,adv,6.0,95,93,411
верхом,adv,6.0,93,92,354
неопределенно,adv,5.9,91,90,351
примечательно,adv,5.9,78,91,453
поди,adv,5.9,72,86,244
добродушно,adv,5.8,77,89,302
разумно,adv,5.8,98,95,432
невзирая,adv,5.8,95,93,390
лучше,adv,5.8,72,84,197
чрезмерно,adv,5.8,97,93,393
скептически,adv,5.7,92,92,411
наперед,adv,5.7,91,93,359
врасплох,adv,5.7,90,92,379
впору,adv,5.7,97,94,404
гулко,adv,5.7,69,88,324
маленько,adv,5.7,71,87,249
по-хорошему,adv,5.7,89,91,339
укоризненно,adv,5.7,67,87,298
издавна,adv,5.7,93,92,382
выразительно,adv,5.6,94,92,346
всецело,adv,5.6,92,87,375
легонько,adv,5.6,70,89,296
настежь,adv,5.6,78,90,322
беспощадно,adv,5.6,93,92,340
обстоятельно,adv,5.6,97,93,355
вообще-то,adv,5.6,89,91,355
ежемесячно,adv,5.6,83,90,413
еле-еле,adv,5.6,91,92,359
поперек,adv,5.6,96,93,369
вконец,adv,5.6,88,91,358
бешено,adv,5.6,79,90,315
наугад,adv,5.5,92,91,352
обыкновенно,adv,5.5,89,91,297
славно,adv,5.5,87,91,334
угрожающе,adv,5.5,76,89,303
радикально,adv,5.5,83,90,397
более-менее,adv,5.5,92,93,380
враз,adv,5.5,77,87,274
взаимно,adv,5.5,95,89,353
наяву,adv,5.5,96,93,352
ненароком,adv,5.5,89,91,327
собственноручно,adv,5.4,93,93,353
нестерпимо,adv,5.4,82,90,300
неведомо,adv,5.4,91,92,316
вмиг,adv,5.4,81,89,294
криво,adv,5.4,78,89,317
таинственно,adv,5.4,86,91,344
чуточку,adv,5.4,87,90,311
научно,adv,5.4,90,90,369
негативно,adv,5.4,69,90,430
загадочно,adv,5.4,87,91,340
лукаво,adv,5.3,90,92,338
всего-навсего,adv,5.3,90,92,333
интуитивно,adv,5.3,94,93,339
механически,adv,5.3,97,93,340
вертикально,adv,5.3,93,90,333
вблизи,adv,5.3,96,93,354
наотрез,adv,5.3,91,92,347
наскоро,adv,5.3,85,90,297
вдалеке,adv,5.3,92,92,344
усердно,adv,5.3,97,93,336
превосходно,adv,5.3,93,93,327
мужественно,adv,5.3,93,93,370
наспех,adv,5.2,86,92,327
возмущенно,adv,5.2,82,90,293
юридически,adv,5.2,86,91,398
тускло,adv,5.2,74,89,318
пронзительно,adv,5.2,79,90,324
мечтательно,adv,5.2,82,90,316
логично,adv,5.2,94,93,381
трезво,adv,5.2,93,94,367
