Lemma,PoS,Freq(ipm),R,D,Doc
все-таки,part,261.3,100,96,6031
стена,s,261.0,100,94,4312
существовать,v,260.9,100,94,8482
интерес,s,260.6,100,94,8256
даже,conj,260.6,100,97,6443
становиться,v,259.3,100,97,7869
федерация,s,258.9,90,65,4175
правило,s,258.8,100,91,7928
оба,num,258.1,100,97,6241
часто,adv,257.8,100,96,7399
московский,a,257.3,100,93,7936
управление,s,256.5,100,91,7225
слышать,v,256.1,100,94,4462
быстро,adv,255.7,100,96,5900
смочь,v,255.1,100,97,8476
заметить,v,253.9,100,95,5724
как-то,advpro,253.2,100,95,5189
мужчина,s,253.2,100,92,4125
долго,adv,253.1,100,95,5352
правда,adv,252.4,100,97,7655
идея,s,250.8,100,94,6521
партия,s,250.4,100,92,4489
иногда,adv,249.8,100,97,5677
использовать,v,249.6,100,90,8730
пытаться,v,249.4,100,97,6843
готовый,a,248.5,100,97,7815
чуть,adv,248.3,100,95,5392
зачем,advpro,247.7,100,93,4495
представить,v,247.2,100,95,8529
чувствовать,v,246.9,100,95,4762
создать,v,245.9,100,94,9362
совет,s,245.5,100,92,6880
счет,s,245.4,100,94,8497
сердце,s,245.1,100,93,4518
движение,s,244.7,100,96,5848
вещь,s,242.5,100,97,5410
материал,s,242.4,100,91,7279
неделя,s,242.2,100,96,7197
чувство,s,242.2,100,96,4664
затем,adv,241.3,100,96,7088
данный,apro,241.1,100,87,7240
заниматься,v,240.8,100,96,7727
продолжать,v,240.6,100,97,6302
красный,a,240.5,100,96,4981
глава,s,240.2,100,93,6919
ко,pr,239.7,100,96,4863
слушать,v,239.5,100,94,3830
наука,s,239.0,100,90,5170
узнать,v,238.1,100,96,4926
ряд,s,238.0,100,94,8738
Александр,s.PROP,237.8,100,91,6592
газета,s,237.5,100,94,5350
причина,s,237.2,100,95,8118
против,pr,236.5,100,96,6832
плечо,s,236.4,100,92,3181
современный,a,236.1,100,92,8092
цена,s,236.1,100,93,6883
план,s,235.3,100,93,7397
приехать,v,234.4,100,95,4587
речь,s,234.2,100,96,6764
четыре,num,232.7,100,97,7304
отвечать,v,232.4,100,97,6607
точка,s,232.2,100,94,7224
основа,s,231.0,100,88,7646
товарищ,s,230.6,100,92,3202
культура,s,230.2,100,91,5483
слишком,adv,230.1,100,97,6158
рассказывать,v,230.0,100,96,5391
вполне,adv,229.8,100,97,7671
далее,adv,229.6,100,92,7233
рассказать,v,229.4,100,96,5883
данные,s,229.0,100,85,6618
представлять,v,228.5,100,95,8016
мнение,s,228.4,100,94,8619
социальный,a,228.2,100,86,5073
около,pr,228.1,100,95,8254
документ,s,226.8,100,90,6081
институт,s,226.5,100,94,5848
ход,s,226.5,100,96,7283
брать,v,226.3,100,96,5836
забыть,v,226.0,100,95,4910
проект,s,225.9,100,92,6965
ранний,a,225.7,100,98,6533
встреча,s,224.9,100,95,5659
особый,a,224.3,100,96,7528
целый,a,222.5,100,98,6702
директор,s,222.2,100,93,6254
провести,v,222.0,100,95,8931
спать,v,221.9,100,92,3167
плохой,a,221.6,100,97,5861
может,adv,221.0,100,93,3854
впрочем,adv,220.7,100,96,6845
сильный,a,220.5,100,98,6204
наверное,adv,220.2,100,95,4827
скорый,a,220.0,100,97,6783
ведь,conj,219.9,100,96,6769
срок,s,219.7,100,83,6743
палец,s,219.1,100,92,3040
опыт,s,218.8,100,94,7242
помочь,v,218.8,100,96,6162
