Lemma,PoS,Freq(ipm),R,D,Doc
год,s,3727.5,100,94,29477
человек,s,2723.0,100,97,20423
время,s,2015.7,100,97,24342
дело,s,1412.1,100,97,18240
жизнь,s,1389.8,100,96,14894
день,s,1258.4,100,97,17383
рука,s,1200.6,100,94,10370
раз,s,1131.8,100,97,16783
работа,s,1058.3,100,95,18222
слово,s,967.9,100,96,14564
место,s,926.6,100,98,16518
лицо,s,878.0,100,91,10267
друг,s,874.2,100,97,9689
глаз,s,857.6,100,93,7664
вопрос,s,805.8,100,95,15789
дом,s,792.6,100,96,10527
сторона,s,768.3,100,97,13501
страна,s,725.7,100,93,14384
мир,s,714.7,100,95,12334
случай,s,709.7,100,94,14734
голова,s,709.4,100,93,6937
ребенок,s,658.3,100,94,8002
сила,s,645.8,100,97,12231
конец,s,634.7,100,98,11758
вид,s,620.1,100,94,13140
система,s,617.8,100,88,11090
часть,s,585.4,100,92,13685
город,s,573.4,100,96,10646
отношение,s,557.4,100,93,11695
женщина,s,533.3,100,95,6029
деньги,s,512.4,100,96,9534
земля,s,494.4,100,96,7260
машина,s,490.4,100,96,6365
вода,s,484.8,100,96,6606
отец,s,484.1,100,93,4625
проблема,s,474.9,100,93,12849
час,s,468.1,100,98,8561
право,s,461.4,100,87,9036
нога,s,459.2,100,93,5061
решение,s,453.4,100,90,11312
дверь,s,450.8,100,92,4289
образ,s,445.9,100,93,11471
история,s,443.9,100,94,9150
власть,s,435.6,100,93,8885
закон,s,433.4,100,90,8195
война,s,425.9,100,95,6135
бог,s,425.4,100,83,5224
голос,s,424.5,100,93,5099
тысяча,s,416.0,100,94,10400
книга,s,413.9,100,96,5659
возможность,s,407.5,100,93,12230
результат,s,403.1,100,90,12224
ночь,s,402.8,100,95,5349
стол,s,402.5,100,94,4738
имя,s,401.7,100,97,9402
область,s,400.2,100,90,10594
статья,s,395.0,100,76,5744
число,s,393.5,100,92,11948
компания,s,392.7,100,91,8542
народ,s,385.6,100,95,6870
жена,s,376.8,100,94,4361
группа,s,372.8,100,92,9019
развитие,s,372.6,100,89,9208
процесс,s,371.7,100,87,9126
суд,s,371.1,100,82,4735
условие,s,368.1,100,91,10779
средство,s,363.9,100,89,9690
начало,s,361.4,100,95,11142
свет,s,359.7,100,95,6490
пора,s,358.2,100,97,9884
путь,s,357.3,100,96,9090
душа,s,356.8,100,94,5830
уровень,s,348.5,100,90,10334
форма,s,347.8,100,90,8229
связь,s,346.1,100,91,9592
минута,s,344.2,100,95,5853
улица,s,337.8,100,96,6496
вечер,s,335.4,100,95,5441
качество,s,331.7,100,91,10717
мысль,s,331.6,100,96,5346
дорога,s,330.1,100,96,6034
мать,s,330.1,100,93,3852
действие,s,329.3,100,90,8471
месяц,s,328.0,100,95,8900
государство,s,326.4,100,92,7518
язык,s,324.9,100,96,6036
любовь,s,323.9,100,91,5147
взгляд,s,323.8,100,96,6774
мама,s,322.6,99,92,3198
век,s,317.4,100,91,6926
школа,s,316.0,100,95,6058
цель,s,315.5,100,93,9400
общество,s,314.7,100,87,6203
деятельность,s,313.5,100,87,7568
организация,s,312.4,100,88,8542
президент,s,311.0,100,89,7600
комната,s,310.7,100,93,3661
порядок,s,307.6,100,89,8151
момент,s,306.8,100,96,8841
театр,s,305.3,100,89,3128
