Lemma,PoS,Freq(ipm),R,D,Doc
потенциальный,a,33.0,99,91,1986
глобальный,a,33.0,98,89,1440
коллективный,a,32.8,100,91,1464
наибольший,a,32.5,99,88,2038
стеклянный,a,32.5,100,94,1219
мрачный,a,32.4,98,95,1284
атомный,a,32.4,98,87,916
достаточный,a,32.2,100,93,2048
отрицательный,a,32.2,100,90,1625
головной,a,32.1,100,94,1618
горький,a,32.0,100,95,1346
радостный,a,32.0,99,95,1403
бытовой,a,32.0,100,93,1685
утренний,a,31.9,100,94,1223
типичный,a,31.9,100,92,1603
революционный,a,31.9,99,92,1100
трагический,a,31.9,99,93,1432
оригинальный,a,31.9,100,92,1813
сексуальный,a,31.8,99,71,826
таинственный,a,31.6,98,94,1253
таможенный,a,31.6,91,78,898
принципиальный,a,31.5,100,92,1886
удачный,a,31.4,100,95,1831
чудесный,a,31.4,99,95,1315
противный,a,31.3,100,96,1573
правительственный,a,31.2,98,91,1694
почетный,a,31.2,100,93,1553
книжный,a,31.2,99,94,1264
начальный,a,31.2,100,87,1527
вредный,a,31.2,100,95,1580
кожаный,a,31.1,98,92,1106
перспективный,a,31.1,100,90,1835
дурной,a,31.1,100,94,1261
воинский,a,31.1,100,85,1046
экспериментальный,a,30.9,92,80,1175
критический,a,30.9,100,92,1608
ближний,a,30.9,100,92,1529
выгодный,a,30.9,100,94,1945
торжественный,a,30.7,100,95,1459
комплексный,a,30.6,82,86,1539
грустный,a,30.6,99,95,1298
неплохой,a,30.6,100,96,1612
посторонний,a,30.4,100,95,1290
жалкий,a,30.4,98,93,1133
тогдашний,a,30.4,98,91,1141
ледяной,a,30.3,100,93,1015
структурный,a,30.2,78,83,1263
занятый,a,30.1,100,95,1348
могучий,a,30.0,97,94,1114
сталинский,a,29.9,98,88,844
громадный,a,29.9,99,93,1124
сельскохозяйственный,a,29.8,94,88,1018
славный,a,29.6,100,95,1364
британский,a,29.5,96,90,1176
любопытный,a,29.5,99,96,1572
кредитный,a,29.5,86,86,783
стандартный,a,29.4,100,89,1687
районный,a,29.4,100,91,1368
оптимальный,a,29.4,88,85,1658
немалый,a,29.2,100,95,1624
плоский,a,29.1,98,93,1198
бессмысленный,a,29.1,99,96,1328
натуральный,a,29.1,100,90,1298
негативный,a,29.1,95,89,1602
сибирский,a,29.0,100,90,1161
боковой,a,28.9,100,85,1097
дорожный,a,28.9,100,91,1341
математический,a,28.8,98,77,851
незаконный,a,28.7,98,85,1284
идеологический,a,28.7,97,90,1105
самарский,a,28.6,71,87,623
авиационный,a,28.6,97,89,889
программный,a,28.6,85,82,1085
гениальный,a,28.4,100,95,1155
биологический,a,28.4,99,83,1113
деревенский,a,28.4,97,94,1046
базовый,a,28.4,81,89,1457
загадочный,a,28.4,99,95,1336
грозный,a,28.3,100,95,1214
проклятый,a,28.3,97,92,1085
волшебный,a,28.2,99,92,1056
подводный,a,28.2,100,88,903
сырой,a,28.2,100,94,1146
первичный,a,28.1,98,84,1225
предстоящий,a,28.1,99,94,1646
нелепый,a,28.0,99,94,1134
недовольный,a,27.9,99,96,1362
осенний,a,27.8,99,95,1195
пушкинский,a,27.8,98,90,850
греческий,a,27.7,100,87,871
солидный,a,27.7,100,95,1477
энергетический,a,27.7,93,90,1298
симпатичный,a,27.6,98,95,1282
контрольный,a,27.6,100,89,1349
всемирный,a,27.6,98,92,1522
поэтический,a,27.6,98,91,782
специфический,a,27.5,99,85,1451
малейший,a,27.5,100,95,1240
бурный,a,27.4,100,95,1482
территориальный,a,27.3,82,80,1072
