Lemma,PoS,Freq(ipm),R,D,Doc
быть,v,12160.7,100,98,34184
мочь,v,2912.3,100,98,25413
сказать,v,2396.6,100,94,15426
говорить,v,1755.0,100,96,17120
знать,v,1713.8,100,95,13494
стать,v,1621.8,100,97,21235
хотеть,v,991.3,100,95,12290
идти,v,957.1,100,96,13815
иметь,v,906.7,100,96,17493
видеть,v,818.2,100,96,9914
думать,v,755.5,100,95,9254
сделать,v,743.5,100,97,14748
жить,v,725.5,100,96,10085
делать,v,701.1,100,97,12524
смотреть,v,667.2,100,96,9118
работать,v,611.2,100,96,13409
понять,v,588.2,100,95,7880
пойти,v,587.2,100,94,8422
спросить,v,573.9,100,91,4653
дать,v,573.1,100,97,11209
понимать,v,559.7,100,96,8240
получить,v,557.7,100,95,14913
сидеть,v,538.1,100,94,5916
оказаться,v,531.9,100,97,11735
взять,v,525.8,100,95,9275
прийти,v,523.3,100,96,9359
являться,v,522.9,100,89,12749
любить,v,503.1,100,95,6888
стоить,v,501.9,100,97,11503
остаться,v,482.7,100,97,10602
выйти,v,480.9,100,96,8764
начать,v,473.3,100,97,10696
считать,v,455.3,100,97,12187
увидеть,v,452.4,100,95,6969
казаться,v,448.2,100,97,7586
писать,v,444.3,100,96,6914
найти,v,424.1,100,97,9693
стоять,v,419.3,100,93,5109
решить,v,409.7,100,97,10694
пройти,v,398.4,100,97,10645
принять,v,386.9,100,95,11757
давать,v,370.7,100,98,9941
ответить,v,370.4,100,94,5662
помнить,v,363.1,100,96,5704
ждать,v,360.2,100,95,6976
находиться,v,342.7,100,95,10424
написать,v,336.2,100,96,6048
оставаться,v,327.4,100,98,9585
играть,v,319.1,100,95,6407
лежать,v,318.1,100,94,5232
подумать,v,315.6,100,92,4229
уйти,v,315.6,100,95,6163
посмотреть,v,314.2,100,93,5341
вернуться,v,311.2,100,96,5844
следовать,v,305.1,100,95,8778
читать,v,304.4,100,96,5215
бывать,v,297.3,100,96,6512
ходить,v,296.6,100,94,5439
начинать,v,296.0,100,98,8243
появиться,v,294.6,100,97,8767
называть,v,293.4,100,96,8780
прийтись,v,285.5,100,96,8007
хотеться,v,285.3,100,96,6330
вести,v,280.3,100,98,7897
показать,v,277.7,100,96,8111
поставить,v,267.3,100,98,7836
бояться,v,266.5,100,94,4549
происходить,v,263.6,100,95,7996
существовать,v,260.9,100,94,8482
становиться,v,259.3,100,97,7869
слышать,v,256.1,100,94,4462
смочь,v,255.1,100,97,8476
заметить,v,253.9,100,95,5724
использовать,v,249.6,100,90,8730
пытаться,v,249.4,100,97,6843
представить,v,247.2,100,95,8529
чувствовать,v,246.9,100,95,4762
создать,v,245.9,100,94,9362
заниматься,v,240.8,100,96,7727
продолжать,v,240.6,100,97,6302
слушать,v,239.5,100,94,3830
узнать,v,238.1,100,96,4926
приехать,v,234.4,100,95,4587
отвечать,v,232.4,100,97,6607
рассказывать,v,230.0,100,96,5391
рассказать,v,229.4,100,96,5883
представлять,v,228.5,100,95,8016
брать,v,226.3,100,96,5836
забыть,v,226.0,100,95,4910
провести,v,222.0,100,95,8931
спать,v,221.9,100,92,3167
помочь,v,218.8,100,96,6162
приходить,v,218.2,100,96,5596
просить,v,215.9,100,96,4474
вспомнить,v,215.5,100,95,4696
открыть,v,214.8,100,96,5628
привести,v,214.7,100,94,7716
оставить,v,210.5,100,96,5392
спрашивать,v,208.3,100,94,3810
принимать,v,207.7,100,96,7397
