Lemma,PoS,Freq(ipm),R,D,Doc
поистине,adv,16.3,98,92,951
временно,adv,16.3,100,94,941
чересчур,adv,16.3,100,94,771
вправду,adv,16.2,96,91,648
небрежно,adv,16.2,94,91,654
зло,adv,16.1,98,91,685
накануне,adv,15.9,98,94,880
запросто,adv,15.9,96,94,850
жадно,adv,15.8,92,91,689
опять-таки,adv,15.7,100,91,836
справедливо,adv,15.7,98,94,978
незадолго,adv,15.6,99,93,799
мучительно,adv,15.6,97,94,762
неважно,adv,15.6,99,95,893
ненадолго,adv,15.6,98,93,771
наполовину,adv,15.5,100,95,876
вплотную,adv,15.5,98,94,828
настойчиво,adv,15.5,99,96,889
терпеливо,adv,15.4,94,93,784
мрачно,adv,15.3,89,90,594
неправильно,adv,15.2,100,95,908
скромно,adv,15.2,97,94,811
мирно,adv,15.0,99,95,851
неторопливо,adv,15.0,88,90,540
глупо,adv,15.0,93,92,747
всячески,adv,14.7,100,95,892
бережно,adv,14.6,100,94,793
добровольно,adv,14.6,99,95,872
моментально,adv,14.6,99,91,637
нервно,adv,14.5,90,91,657
вяло,adv,14.5,95,92,728
низко,adv,14.5,99,91,674
плавно,adv,14.5,99,94,819
сухо,adv,14.5,92,90,600
подчас,adv,14.4,96,93,744
последовательно,adv,14.4,98,91,960
пристально,adv,14.4,96,91,678
невероятно,adv,14.4,98,94,737
однозначно,adv,14.3,99,91,947
живо,adv,14.2,97,93,730
неподвижно,adv,14.2,94,89,568
объективно,adv,14.2,97,91,886
равнодушно,adv,14.2,95,91,648
прочно,adv,14.2,99,95,915
густо,adv,14.1,97,92,659
публично,adv,14.1,97,91,819
определенно,adv,14.1,100,93,761
неприятно,adv,14.0,97,93,703
условно,adv,14.0,98,91,916
шумно,adv,14.0,93,91,665
пополам,adv,13.9,100,94,757
шепотом,adv,13.8,86,88,546
желательно,adv,13.7,100,94,906
задолго,adv,13.7,99,95,847
втроем,adv,13.7,91,93,625
нехорошо,adv,13.5,92,91,702
выгодно,adv,13.5,99,94,948
даром,adv,13.4,98,94,800
понемногу,adv,13.4,98,94,686
любопытно,adv,13.4,99,95,843
безнадежно,adv,13.3,97,94,783
по-английски,adv,13.3,97,94,608
лениво,adv,13.3,94,89,574
круто,adv,13.3,99,92,672
периодически,adv,13.2,99,92,851
наизусть,adv,13.2,96,94,638
дорого,adv,13.2,100,95,917
нелегко,adv,13.1,98,95,760
равно,adv,13.0,100,91,759
послушно,adv,13.0,93,90,571
первоначально,adv,13.0,88,90,861
недовольно,adv,12.9,83,89,473
устало,adv,12.9,85,89,554
вправо,adv,12.9,99,93,599
умело,adv,12.9,98,95,766
противно,adv,12.9,95,91,609
применительно,adv,12.8,88,84,737
убедительно,adv,12.8,100,95,838
робко,adv,12.8,91,91,611
внутренне,adv,12.7,100,95,694
туго,adv,12.7,95,92,649
счастливо,adv,12.6,93,92,678
машинально,adv,12.6,81,88,449
бодро,adv,12.6,92,92,622
необыкновенно,adv,12.6,97,93,616
глухо,adv,12.6,84,89,563
негде,adv,12.6,98,95,752
дополнительно,adv,12.6,93,91,935
непрерывно,adv,12.6,98,93,694
влево,adv,12.5,94,93,608
теоретически,adv,12.5,99,93,857
заведомо,adv,12.4,98,86,730
пусто,adv,12.3,92,92,629
вовсю,adv,12.2,97,94,711
достойно,adv,12.2,100,93,847
изрядно,adv,12.2,98,94,705
привычно,adv,12.2,93,91,620
необычайно,adv,12.2,97,94,677
наутро,adv,12.1,96,93,620
давным-давно,adv,12.1,98,93,635
