Lemma,PoS,Freq(ipm),R,D,Doc
трагически,adv,5.2,89,93,347
адекватно,adv,5.2,82,88,379
критически,adv,5.1,96,94,366
мимоходом,adv,5.1,88,92,318
мощно,adv,5.1,94,94,351
сроду,adv,5.1,71,85,241
искусно,adv,5.1,96,94,359
круглосуточно,adv,5.1,88,85,334
раз,adv,5.1,93,92,374
горестно,adv,5.1,80,90,300
изящно,adv,5.0,94,93,352
неспешно,adv,5.0,83,89,281
материально,adv,5.0,95,93,376
уважительно,adv,5.0,90,92,324
нерешительно,adv,5.0,63,87,257
понимающе,adv,5.0,76,89,290
ослепительно,adv,5.0,83,92,312
согласно,adv,5.0,90,90,289
сердечно,adv,5.0,92,91,332
любовно,adv,5.0,94,92,339
взволнованно,adv,5.0,84,86,258
нет-нет,adv,5.0,81,86,267
шибко,adv,5.0,80,89,278
наглухо,adv,5.0,86,92,316
вдогонку,adv,5.0,83,90,318
мило,adv,4.9,92,92,305
вторично,adv,4.9,92,91,285
непроизвольно,adv,4.9,83,88,264
дешево,adv,4.9,94,93,371
иронически,adv,4.9,93,92,281
намертво,adv,4.9,88,92,332
неуютно,adv,4.9,94,93,336
аналогично,adv,4.9,75,84,341
органично,adv,4.9,79,91,364
кардинально,adv,4.9,75,90,391
вызывающе,adv,4.9,90,92,341
безоговорочно,adv,4.9,90,93,348
гневно,adv,4.9,83,91,300
оживленно,adv,4.9,81,91,296
искоса,adv,4.8,61,88,270
дурно,adv,4.8,92,93,313
неуклюже,adv,4.8,77,89,273
порой,adv,4.8,89,91,345
эмоционально,adv,4.8,85,90,321
вдвойне,adv,4.8,96,94,359
благодарно,adv,4.8,76,90,280
грех,adv,4.8,93,94,340
паче,adv,4.7,85,90,268
положено,adv,4.7,95,93,337
образно,adv,4.7,90,91,345
прямиком,adv,4.7,91,93,312
пуще,adv,4.7,87,91,307
загодя,adv,4.7,86,91,288
некстати,adv,4.7,84,90,295
ехидно,adv,4.7,75,88,263
вскользь,adv,4.7,90,92,300
доверительно,adv,4.7,87,92,299
возбужденно,adv,4.7,77,90,265
дружески,adv,4.7,81,90,259
властно,adv,4.6,87,90,291
надобно,adv,4.6,91,90,216
вбок,adv,4.6,76,90,282
точь-в-точь,adv,4.6,90,91,288
тошно,adv,4.6,81,90,284
вкупе,adv,4.6,92,92,336
наготове,adv,4.6,86,92,295
раньше,adv,4.6,62,82,140
дословно,adv,4.6,94,93,322
единогласно,adv,4.6,84,86,288
нечасто,adv,4.6,93,93,339
невзначай,adv,4.6,86,90,292
свято,adv,4.6,94,93,322
секретно,adv,4.6,79,87,259
небось,adv,4.6,72,88,234
непривычно,adv,4.6,86,91,303
изумленно,adv,4.6,69,88,247
предположительно,adv,4.6,90,92,345
вглубь,adv,4.5,95,92,307
поутру,adv,4.5,84,89,269
сокрушенно,adv,4.5,68,88,257
неинтересно,adv,4.5,84,92,327
невесело,adv,4.5,69,88,234
бойко,adv,4.5,83,90,295
чутко,adv,4.5,95,93,317
безвозвратно,adv,4.5,96,94,345
наизнанку,adv,4.5,87,92,308
скверно,adv,4.5,82,90,241
убежденно,adv,4.5,81,90,271
восхищенно,adv,4.5,77,89,275
неохота,adv,4.5,78,89,289
беспрепятственно,adv,4.5,91,93,335
исподлобья,adv,4.5,64,88,254
зябко,adv,4.4,67,88,257
неестественно,adv,4.4,82,90,280
сообща,adv,4.4,94,93,321
систематически,adv,4.4,87,90,302
дружелюбно,adv,4.4,86,91,277
всемирно,adv,4.4,78,90,321
вдохновенно,adv,4.4,87,93,283
необязательно,adv,4.4,90,92,330
