Lemma,PoS,Freq(ipm),R,D,Doc
деталь,s,75.7,100,94,2879
тишина,s,75.6,100,93,1795
зарплата,s,75.5,100,93,2883
тюрьма,s,75.4,100,93,1726
подарок,s,75.4,100,96,2543
билет,s,75.4,100,95,2073
ящик,s,75.4,100,94,1810
конкурс,s,75.3,100,88,2463
книжка,s,75.1,100,95,2148
изучение,s,75.0,100,83,2712
царь,s,74.7,100,88,1484
просьба,s,74.7,100,95,2880
смех,s,74.6,98,89,1816
публика,s,74.6,100,92,2397
угроза,s,74.5,100,94,3027
сообщение,s,74.5,100,94,2961
беда,s,74.4,100,96,2589
назначение,s,73.7,100,90,3147
блок,s,73.7,99,91,2379
достижение,s,73.7,100,91,3672
реклама,s,73.7,100,87,2075
портрет,s,73.6,100,94,1805
масло,s,73.0,100,91,2067
стакан,s,72.8,100,93,1566
урок,s,72.6,100,95,2106
часы,s,72.5,100,94,1969
крик,s,72.4,99,94,1904
телевизор,s,72.3,100,94,2251
творчество,s,72.3,100,93,2335
инструмент,s,72.1,100,93,2785
лейтенант,s,71.9,92,84,760
концепция,s,71.9,97,88,2597
экран,s,71.9,100,94,1975
дно,s,71.8,100,94,2035
реальность,s,71.7,100,89,2391
канал,s,71.5,100,91,2364
мясо,s,71.4,100,95,1848
знакомый,s,71.3,100,96,2306
щека,s,71.3,99,90,1377
конфликт,s,71.1,100,92,2848
переговоры,s,71.1,100,90,2572
запись,s,71.0,100,90,1930
вагон,s,70.9,100,93,1365
площадка,s,70.6,100,96,2492
последствие,s,70.6,100,92,3323
сотрудничество,s,70.6,97,84,2781
зеркало,s,70.5,100,94,1933
тон,s,70.5,100,96,2055
академия,s,70.3,100,92,2243
потребность,s,70.2,100,88,2774
палата,s,70.2,99,93,1931
ноябрь,s,70.1,100,93,2793
увеличение,s,70.0,96,88,3316
поездка,s,69.8,100,94,2339
дурак,s,69.8,97,92,1729
потеря,s,69.7,100,94,3208
февраль,s,69.7,100,93,2929
обед,s,69.7,100,95,1879
устройство,s,69.5,100,92,2620
принятие,s,69.5,95,86,3059
парк,s,69.5,100,95,2230
мероприятие,s,69.5,100,89,3312
вещество,s,69.3,100,84,1910
сезон,s,69.2,100,90,2525
категория,s,69.2,100,90,2876
издание,s,68.9,100,92,2459
гостиница,s,68.9,100,94,1585
темнота,s,68.6,100,91,1550
человечество,s,68.6,100,93,2114
объединение,s,68.6,95,85,2574
колесо,s,68.4,100,95,2006
опасность,s,68.4,100,96,2696
разрешение,s,68.3,100,90,2611
коллектив,s,68.0,100,92,2635
воздействие,s,68.0,100,87,2723
камера,s,67.9,100,93,1570
следствие,s,67.8,100,94,2754
запас,s,67.8,100,93,2651
длина,s,67.7,100,76,2071
округ,s,67.6,100,90,2400
крыло,s,67.6,100,85,1853
фон,s,67.5,100,96,3113
родственник,s,67.4,100,96,2384
кандидат,s,67.4,100,93,2654
присутствие,s,67.2,100,95,2682
давление,s,67.2,99,90,2556
взаимодействие,s,67.1,94,83,2397
доска,s,67.1,100,94,1759
партнер,s,67.1,100,92,2700
двигатель,s,67.0,100,90,1728
шум,s,66.9,100,95,2131
достоинство,s,66.8,100,97,2840
грех,s,66.7,99,86,1878
нож,s,66.6,100,94,1610
полет,s,66.5,100,86,1827
страсть,s,66.5,100,95,2212
испытание,s,66.1,100,92,2372
истина,s,66.1,100,92,2129
разница,s,66.0,100,97,2897
оплата,s,66.0,100,73,2116
