Lemma,PoS,Freq(ipm),R,D,Doc
миллион,s,150.4,100,93,4884
успех,s,149.5,100,94,5547
счастье,s,149.2,100,96,3833
ребята,s,148.9,100,93,2824
кабинет,s,148.5,100,95,2907
пространство,s,147.2,100,92,4154
магазин,s,147.2,100,95,3858
выход,s,147.0,100,97,5099
удар,s,146.8,100,95,3275
база,s,146.7,100,91,5150
знание,s,146.4,100,85,3690
текст,s,146.2,100,93,3769
защита,s,145.9,100,90,5009
руководство,s,145.7,100,92,5685
сознание,s,145.2,100,92,3167
площадь,s,145.2,100,95,4265
возраст,s,144.5,100,94,4383
участник,s,144.2,100,90,5635
участок,s,144.2,100,88,3858
пункт,s,144.0,100,86,4084
линия,s,143.7,100,94,4534
желание,s,143.6,100,97,4988
папа,s,143.4,100,91,2079
доктор,s,143.1,100,90,2677
губа,s,143.0,100,90,1931
дочь,s,142.4,100,95,2662
среда,s,142.4,100,89,4881
председатель,s,142.3,99,92,5070
художник,s,142.2,100,93,2738
представление,s,142.2,100,89,4128
солдат,s,142.2,100,92,2170
волос,s,141.8,100,92,2310
оружие,s,141.8,100,94,3014
соответствие,s,141.0,100,80,4887
ветер,s,140.3,100,93,2716
парень,s,140.3,100,92,2389
зрение,s,140.2,100,94,5286
генерал,s,140.0,100,92,1951
огонь,s,139.8,100,95,3062
строительство,s,139.4,100,91,4407
понятие,s,139.4,100,88,3716
ухо,s,139.3,100,92,2644
грудь,s,138.8,100,91,2307
нос,s,138.8,100,92,2546
страх,s,138.4,100,95,2867
услуга,s,138.3,100,90,4229
содержание,s,137.3,100,88,4565
радость,s,137.2,100,92,3583
безопасность,s,137.1,100,88,4411
продукт,s,136.7,100,91,4209
комплекс,s,136.3,100,90,4799
бизнес,s,136.2,100,91,4140
сад,s,135.8,100,90,2783
сотрудник,s,135.1,100,93,4750
лето,s,135.0,100,96,4302
курс,s,134.5,100,96,4150
предложение,s,134.5,100,94,5243
рот,s,133.6,99,92,2340
технология,s,133.5,99,88,4640
реформа,s,133.1,98,89,3359
отсутствие,s,132.4,100,93,5634
собака,s,132.2,99,93,2394
камень,s,131.9,100,95,2922
будущее,s,131.4,100,96,5116
рассказ,s,131.3,100,96,2989
контроль,s,131.2,100,89,4862
река,s,131.0,100,94,2698
продукция,s,130.8,100,89,3824
сумма,s,130.6,100,92,4758
техника,s,130.5,100,92,4455
здание,s,129.9,100,94,3684
сфера,s,129.5,100,90,4790
необходимость,s,129.1,100,92,5735
фонд,s,128.6,100,89,3935
подготовка,s,127.9,100,90,4896
лист,s,127.6,100,92,2933
республика,s,127.4,100,89,3486
хозяйство,s,127.2,99,92,3779
воля,s,126.4,100,94,3596
бюджет,s,126.0,98,89,4092
снег,s,125.2,100,93,2190
деревня,s,125.1,100,94,2571
мужик,s,124.7,98,91,2084
элемент,s,124.4,100,86,3843
обстоятельство,s,124.2,100,93,4125
немец,s,124.1,100,90,1715
победа,s,124.0,100,94,4032
источник,s,123.7,100,91,4939
звезда,s,122.7,100,95,3171
выбор,s,122.0,100,93,4950
масса,s,121.7,100,92,4295
итог,s,121.5,100,93,6328
сестра,s,121.3,100,93,2260
практика,s,120.7,100,89,4780
проведение,s,120.6,96,86,4826
карман,s,120.5,100,92,2500
слава,s,120.2,100,94,3254
кухня,s,120.1,99,93,2462
определение,s,120.1,100,83,3883
функция,s,119.6,100,85,3718
