Lemma,PoS,Freq(ipm),R,D,Doc
доказать,v,65.0,100,96,2855
приносить,v,64.9,100,97,2863
осуществляться,v,64.7,98,82,2746
дышать,v,64.4,99,93,1869
описать,v,64.4,100,91,2583
прожить,v,64.2,100,95,2258
оценить,v,64.0,100,95,3322
рассмотреть,v,63.9,100,89,3175
проводиться,v,63.7,100,90,3424
лечь,v,63.5,100,94,2020
превратиться,v,63.5,100,96,2849
выпустить,v,63.4,100,96,2774
ударить,v,63.3,99,92,1694
проснуться,v,63.1,98,92,1761
открыться,v,63.0,100,96,2542
способствовать,v,62.5,100,90,3376
научиться,v,62.1,99,94,2535
умирать,v,62.0,99,94,2005
стрелять,v,61.7,99,92,1404
обойтись,v,61.6,100,96,2992
записать,v,61.5,100,96,2314
определяться,v,61.5,100,83,2669
подарить,v,61.4,100,95,2191
приняться,v,61.3,100,91,1468
заставлять,v,61.0,100,97,2614
схватить,v,60.9,99,91,1510
пропасть,v,60.8,100,94,1984
выдать,v,60.4,100,95,2407
извинить,v,60.1,98,91,1526
разобраться,v,60.1,100,96,2475
опустить,v,59.9,99,92,1615
страдать,v,59.8,100,97,2469
заходить,v,59.6,100,94,2019
побежать,v,59.6,98,91,1498
гулять,v,59.5,99,94,1929
броситься,v,59.5,99,92,1531
бегать,v,59.2,99,93,1848
засмеяться,v,58.9,93,88,1018
приказать,v,58.8,100,92,1371
найтись,v,58.8,99,96,2461
устать,v,58.6,100,94,1925
повезти,v,58.5,100,96,2165
рассчитывать,v,58.2,100,96,2981
опубликовать,v,58.0,100,92,2646
радоваться,v,57.8,99,95,2048
обернуться,v,57.7,98,92,1657
закончиться,v,57.7,100,95,2769
выразить,v,57.7,100,94,2715
отпустить,v,57.6,100,94,1814
заговорить,v,57.5,98,92,1712
внести,v,57.4,100,93,3312
устраивать,v,57.4,100,96,2578
выясниться,v,57.2,100,95,2625
догадаться,v,57.1,99,92,1681
изучать,v,57.0,100,94,2603
интересовать,v,57.0,100,97,2315
поднимать,v,56.9,100,95,2106
развиваться,v,56.8,100,92,3153
обращать,v,56.6,100,97,2490
подождать,v,56.6,100,91,1621
продавать,v,56.3,100,95,2645
поддержать,v,56.2,100,95,2808
бросать,v,56.2,100,95,1933
запретить,v,56.1,100,96,2418
отмечать,v,56.0,100,93,2905
отойти,v,55.9,100,94,1939
ощущать,v,55.9,100,95,1889
прибыть,v,55.7,100,95,2055
случаться,v,55.5,100,96,2264
сойти,v,55.4,100,94,1967
поймать,v,55.2,99,93,1750
заключить,v,55.1,100,93,2563
признаться,v,55.1,100,94,1964
сомневаться,v,55.0,100,96,2117
усмехнуться,v,55.0,88,88,836
договориться,v,54.8,100,95,2198
предоставить,v,54.7,100,92,3010
удаваться,v,54.3,100,96,2654
сходить,v,54.2,100,92,2032
пустить,v,54.1,100,95,1960
попадать,v,54.1,100,97,2639
указывать,v,54.0,100,92,2389
терпеть,v,53.7,100,95,1861
сдать,v,53.6,100,94,2132
вывести,v,53.4,100,97,2495
выпускать,v,53.4,100,95,2638
спорить,v,53.1,100,96,1926
вступить,v,53.1,100,95,2569
вытащить,v,53.0,99,91,1415
победить,v,52.9,100,95,2413
посадить,v,52.9,100,95,1919
обсуждать,v,52.8,100,95,2485
заняться,v,52.7,100,96,2517
торопиться,v,52.6,98,93,1731
переходить,v,52.6,100,96,2481
выиграть,v,52.3,100,91,2239
надеть,v,52.1,100,94,1706
кормить,v,52.0,100,93,1806
потребовать,v,51.6,100,96,2450
переживать,v,51.6,100,95,2182
