Lemma,PoS,Freq(ipm),R,D,Doc
мысль,s,331.6,100,96,5346
мать,s,330.1,100,93,3852
дорога,s,330.1,100,96,6034
действие,s,329.3,100,90,8471
месяц,s,328.0,100,95,8900
оставаться,v,327.4,100,98,9585
государство,s,326.4,100,92,7518
язык,s,324.9,100,96,6036
любовь,s,323.9,100,91,5147
взгляд,s,323.8,100,96,6774
мама,s,322.6,99,92,3198
играть,v,319.1,100,95,6407
далекий,a,318.3,100,96,6925
лежать,v,318.1,100,94,5232
нельзя,adv,317.7,100,98,8001
век,s,317.4,100,91,6926
школа,s,316.0,100,95,6058
подумать,v,315.6,100,92,4229
уйти,v,315.6,100,95,6163
цель,s,315.5,100,93,9400
среди,pr,314.9,100,97,9317
общество,s,314.7,100,87,6203
посмотреть,v,314.2,100,93,5341
деятельность,s,313.5,100,87,7568
организация,s,312.4,100,88,8542
кто-то,spro,312.0,100,96,5905
вернуться,v,311.2,100,96,5844
президент,s,311.0,100,89,7600
комната,s,310.7,100,93,3661
порядок,s,307.6,100,89,8151
момент,s,306.8,100,96,8841
театр,s,305.3,100,89,3128
следовать,v,305.1,100,95,8778
читать,v,304.4,100,96,5215
письмо,s,304.3,100,92,4522
подобный,a,301.6,100,95,9421
следующий,a,301.4,100,95,9635
утро,s,301.3,100,95,4993
особенно,adv,300.3,100,97,9151
помощь,s,300.1,100,95,9691
ситуация,s,298.8,100,93,9729
роль,s,297.9,100,92,7398
бывать,v,297.3,100,96,6512
ходить,v,296.6,100,94,5439
рубль,s,296.4,100,93,6998
начинать,v,296.0,100,98,8243
появиться,v,294.6,100,97,8767
смысл,s,294.6,100,95,7160
состояние,s,294.4,100,92,8231
называть,v,293.4,100,96,8780
рядом,adv,291.8,100,95,5505
квартира,s,290.9,100,95,4447
назад,adv,290.7,100,97,8616
равный,a,289.7,100,97,7809
из-за,pr,289.6,100,97,7835
орган,s,288.4,100,80,6022
внимание,s,286.0,100,97,9306
тело,s,285.9,100,92,4943
труд,s,285.9,100,93,7004
прийтись,v,285.5,100,96,8007
хотеться,v,285.3,100,96,6330
сын,s,285.1,100,94,4408
мера,s,284.3,100,94,9174
пять,num,284.3,100,96,7489
смерть,s,284.1,100,94,4506
живой,a,284.0,100,95,5736
рынок,s,283.3,100,92,6951
программа,s,282.6,100,92,8148
задача,s,282.4,100,90,8142
предприятие,s,281.6,100,90,6408
известный,a,281.1,100,95,9400
окно,s,280.8,100,93,3883
вести,v,280.3,100,98,7897
совершенно,adv,280.3,100,97,6840
военный,a,278.7,100,92,4753
разговор,s,278.3,100,96,5117
правительство,s,277.7,100,90,7236
показать,v,277.7,100,96,8111
важный,a,277.0,100,95,9219
семья,s,276.6,100,96,6153
великий,a,276.3,100,94,5873
производство,s,275.6,100,89,6484
простой,a,275.3,100,98,8450
значит,adv,274.9,100,94,5692
третий,anum,274.7,100,98,7932
сколько,num,273.4,100,96,6570
огромный,a,272.1,100,97,6805
давно,adv,272.0,100,96,7336
политический,a,269.6,100,91,5825
информация,s,269.2,100,90,7314
действительно,adv,268.6,100,97,7527
положение,s,268.2,100,92,7742
поставить,v,267.3,100,98,7836
бояться,v,266.5,100,94,4549
центр,s,265.9,100,94,9074
наконец,adv,265.9,100,96,6160
происходить,v,263.6,100,95,7996
ответ,s,263.3,100,97,6951
муж,s,263.0,100,88,3319
автор,s,262.1,100,93,6216
