Lemma,PoS,Freq(ipm),R,D,Doc
ночной,a,84.7,100,95,2311
мягкий,a,84.7,100,96,2772
налоговый,a,84.5,95,90,2082
толстый,a,84.4,99,93,2115
бедный,a,84.0,100,96,2586
верхний,a,83.9,100,90,2829
вечный,a,83.8,100,93,2824
лишний,a,83.5,100,97,3311
морской,a,83.5,100,95,2312
спокойный,a,83.4,100,96,2654
нижний,a,83.4,100,89,2970
сухой,a,83.0,100,96,2529
синий,a,82.8,100,93,2010
сегодняшний,a,82.3,100,95,4261
медицинский,a,82.0,100,90,2655
уголовный,a,81.3,100,75,2108
свежий,a,81.3,100,96,2835
трудный,a,81.3,100,96,3039
желтый,a,78.1,100,94,2036
мощный,a,77.0,100,96,3498
деревянный,a,75.6,100,95,2171
полезный,a,75.2,100,92,3432
дальний,a,74.9,100,96,2733
домашний,a,74.4,100,97,2867
традиционный,a,74.1,100,91,3752
жесткий,a,73.6,100,96,3589
крепкий,a,73.6,100,95,2496
виноватый,a,73.0,99,94,2161
культурный,a,72.8,100,92,2660
приятный,a,72.7,100,96,2787
круглый,a,71.9,100,96,2437
понятный,a,71.6,100,97,3326
удивительный,a,71.5,100,96,2758
голубой,a,71.5,100,94,1958
правовой,a,71.2,88,81,1895
мужской,a,71.2,100,95,2318
больной,a,71.0,100,96,2242
мертвый,a,70.8,100,95,2053
совместный,a,70.4,99,92,3354
семейный,a,70.3,100,96,2589
природный,a,69.7,100,88,2627
учебный,a,69.2,100,90,2325
православный,a,69.2,98,85,1426
эффективный,a,68.9,99,89,3654
невозможный,a,67.7,100,97,3178
материальный,a,67.7,100,91,2762
соседний,a,66.4,100,96,2555
психологический,a,66.2,100,83,1762
музыкальный,a,65.9,100,91,1952
голый,a,65.4,99,93,1767
обязательный,a,65.4,100,87,2885
исполнительный,a,65.2,99,79,1878
партийный,a,65.2,97,90,1608
существенный,a,65.0,100,88,3280
восточный,a,64.4,100,94,2580
сельский,a,64.2,99,92,2222
характерный,a,64.2,100,89,2991
неожиданный,a,64.0,100,96,2463
видный,a,63.5,100,97,2398
честный,a,63.4,100,95,2237
резкий,a,63.2,100,96,2891
младший,a,63.1,100,96,2022
трудовой,a,62.9,100,90,2201
строгий,a,62.8,100,97,2634
южный,a,62.5,100,93,2541
практический,a,62.4,99,86,2588
согласный,a,62.3,100,94,2345
многочисленный,a,62.3,100,94,3279
спортивный,a,62.0,100,92,2350
истинный,a,61.8,100,95,2317
злой,a,61.5,99,95,1992
индивидуальный,a,61.4,100,88,2526
мокрый,a,61.3,99,91,1465
дикий,a,61.2,100,96,2117
рад,a,61.0,100,94,1924
коммерческий,a,60.7,98,90,2660
театральный,a,60.6,100,89,1503
дешевый,a,60.1,100,95,2987
воздушный,a,60.1,100,93,1875
пьяный,a,60.0,99,92,1550
областной,a,59.6,98,91,2125
твердый,a,59.5,100,95,2289
религиозный,a,59.4,99,91,1628
вооруженный,a,59.4,99,89,1800
промышленный,a,59.3,99,90,2469
денежный,a,58.8,100,88,2196
китайский,a,58.4,100,91,1673
последующий,a,58.4,100,90,3007
грязный,a,58.3,100,94,1791
земной,a,58.3,100,90,1892
классический,a,58.2,100,92,2642
неизвестный,a,57.9,100,97,2380
торговый,a,57.8,100,92,2439
привычный,a,57.1,100,97,2445
глупый,a,57.0,99,93,1627
обратный,a,57.0,100,95,2595
транспортный,a,56.8,96,84,1912
достойный,a,56.6,100,95,2823
удобный,a,56.4,100,97,2778
конечный,a,56.2,100,90,2734
