Lemma,PoS,Freq(ipm),R,D,Doc
блестяще,adv,8.3,96,93,534
угрюмо,adv,8.3,72,88,364
политически,adv,8.3,96,91,504
явственно,adv,8.3,95,93,473
мельком,adv,8.3,87,90,439
извне,adv,8.3,98,92,552
насмерть,adv,8.3,91,93,508
бесполезно,adv,8.1,96,94,521
равномерно,adv,8.1,97,82,449
кверху,adv,8.1,91,90,398
нечаянно,adv,8.1,92,90,414
брезгливо,adv,8.0,80,89,419
вполголоса,adv,8.0,88,90,377
рассеянно,adv,8.0,79,88,379
напрочь,adv,8.0,91,93,512
попутно,adv,7.9,96,94,531
лень,adv,7.8,95,91,466
восторженно,adv,7.8,92,92,423
морально,adv,7.8,99,93,553
всего-то,adv,7.8,94,93,491
грамотно,adv,7.7,96,93,580
взамен,adv,7.6,97,94,549
хитро,adv,7.6,93,92,429
вдаль,adv,7.6,92,91,453
психологически,adv,7.6,94,91,461
тайком,adv,7.6,89,92,425
тяжко,adv,7.6,95,92,447
жизненно,adv,7.6,96,93,591
право,adv,7.6,92,90,366
назавтра,adv,7.5,89,90,361
безразлично,adv,7.5,99,93,460
вопросительно,adv,7.5,78,89,381
излишне,adv,7.5,93,93,502
нагло,adv,7.5,89,91,439
набок,adv,7.5,82,89,392
искусственно,adv,7.5,96,93,535
неясно,adv,7.4,99,94,504
недоверчиво,adv,7.4,77,89,349
исправно,adv,7.4,92,94,506
беспомощно,adv,7.4,88,90,362
вольно,adv,7.4,97,93,454
охота,adv,7.4,88,90,437
беда,adv,7.3,98,94,467
незамедлительно,adv,7.3,95,90,430
вкусно,adv,7.3,91,92,472
косвенно,adv,7.3,95,92,547
босиком,adv,7.2,87,91,407
недоуменно,adv,7.2,80,89,350
немало,adv,7.2,98,93,498
неудивительно,adv,7.2,90,92,523
по-французски,adv,7.2,94,92,367
облегченно,adv,7.2,81,90,391
поодаль,adv,7.2,85,90,383
интенсивно,adv,7.1,89,89,512
вроде,adv,7.1,93,91,433
поневоле,adv,7.1,94,93,442
тщетно,adv,7.1,91,93,415
сосредоточенно,adv,7.0,88,90,388
обиженно,adv,7.0,76,89,380
бесследно,adv,7.0,96,94,480
спешно,adv,7.0,92,92,409
наивно,adv,7.0,95,93,441
настороженно,adv,7.0,89,92,399
почтительно,adv,7.0,89,91,366
косо,adv,7.0,80,82,315
безжалостно,adv,7.0,94,94,436
невыносимо,adv,7.0,90,92,412
злобно,adv,6.9,77,88,334
непросто,adv,6.9,95,93,502
деликатно,adv,6.9,96,93,429
вручную,adv,6.9,92,92,491
достоверно,adv,6.9,93,87,426
нелепо,adv,6.7,91,92,424
по-немецки,adv,6.7,88,90,287
уныло,adv,6.7,81,90,370
неудачно,adv,6.7,98,94,450
принято,adv,6.7,97,93,482
душно,adv,6.7,90,90,401
слышь,adv,6.6,65,85,249
просто-напросто,adv,6.6,96,92,406
вверху,adv,6.6,93,90,354
звонко,adv,6.6,77,89,349
оперативно,adv,6.6,84,91,504
наравне,adv,6.6,98,94,483
безуспешно,adv,6.6,97,94,470
гладко,adv,6.6,95,93,411
многозначительно,adv,6.6,86,90,345
детально,adv,6.5,89,90,509
заботливо,adv,6.5,93,93,399
целесообразно,adv,6.5,71,84,452
смирно,adv,6.5,85,88,331
усиленно,adv,6.5,100,94,444
намеренно,adv,6.5,94,93,410
экологически,adv,6.5,77,88,425
втайне,adv,6.5,89,91,362
удовлетворенно,adv,6.5,74,89,354
повсеместно,adv,6.5,94,92,490
сочувственно,adv,6.5,92,91,383
посередине,adv,6.5,99,94,402
безошибочно,adv,6.4,94,94,402
