Lemma,PoS,Freq(ipm),R,D,Doc
больше,num,218.7,100,97,7512
приходить,v,218.2,100,96,5596
служба,s,218.1,100,92,5902
крупный,a,217.3,100,95,7555
Андрей,s.PROP,217.2,100,84,3563
внутренний,a,216.1,100,93,6438
просить,v,215.9,100,96,4474
вспомнить,v,215.5,100,95,4696
открыть,v,214.8,100,96,5628
привести,v,214.7,100,94,7716
судьба,s,213.9,100,96,5355
пока,adv,213.4,100,96,7762
девушка,s,213.3,100,93,3417
поскольку,conj,212.8,100,94,7141
очередь,s,212.5,100,97,7696
лес,s,211.5,100,94,3264
пусть,part,211.0,100,95,4734
экономический,a,210.6,100,90,5899
оставить,v,210.5,100,96,5392
правый,a,210.4,100,96,4655
состав,s,209.8,100,90,6754
Сергей,s.PROP,209.5,100,92,5157
словно,conj,209.2,97,91,2723
федеральный,a,208.9,88,80,5181
спрашивать,v,208.3,100,94,3810
принимать,v,207.7,100,96,7397
член,s,207.4,100,93,6078
искать,v,206.9,100,96,5266
близкий,a,206.8,100,98,6077
количество,s,206.7,100,93,8094
событие,s,206.5,100,95,6250
похожий,a,206.5,100,95,4668
объект,s,206.4,100,85,4598
зал,s,206.3,100,95,3980
создание,s,206.1,100,91,7395
войти,v,205.5,100,96,5227
различный,a,205.5,100,87,7293
назвать,v,205.1,100,96,7109
значение,s,205.1,100,86,5619
достаточно,adv,204.7,100,95,7956
период,s,204.2,100,90,6662
хоть,part,203.9,100,94,4639
шаг,s,203.8,100,96,4988
необходимый,a,203.7,100,93,8135
успеть,v,203.4,100,94,4508
произойти,v,203.2,100,97,6481
брат,s,203.0,100,95,3497
искусство,s,202.6,100,92,4032
единственный,a,202.2,100,97,6857
структура,s,202.1,99,86,6092
легкий,a,202.1,100,97,5500
выходить,v,201.6,100,97,5550
номер,s,201.2,100,96,4792
пример,s,201.2,100,94,7661
предложить,v,201.2,100,97,6811
пить,v,200.9,100,93,3381
исследование,s,200.5,100,83,4822
гражданин,s,199.4,100,86,5618
глядеть,v,199.3,99,91,3012
человеческий,a,199.3,100,92,4579
игра,s,199.0,100,95,4966
начальник,s,198.9,100,95,4609
сей,apro,198.6,100,96,7011
рост,s,198.4,100,93,5936
ехать,v,198.2,100,95,3686
международный,a,198.2,100,89,6275
тема,s,198.1,100,94,6199
принцип,s,197.9,100,91,6654
попасть,v,197.7,100,96,5539
дорогой,a,197.7,100,96,5625
десять,num,197.4,100,96,5502
начаться,v,197.4,100,96,6666
верить,v,197.1,100,96,4336
тип,s,197.0,100,89,5666
метод,s,197.0,100,83,4912
фильм,s,196.8,100,88,3009
небольшой,a,196.6,100,96,6721
держать,v,196.5,100,95,4204
либо,conj,195.7,100,86,4529
позволять,v,194.3,100,90,7687
край,s,194.0,100,89,4460
местный,a,193.3,100,93,6412
США,s.PROP,192.9,99,91,5031
менее,adv,192.9,100,95,7763
уходить,v,192.7,100,95,4652
гость,s,192.7,100,95,4202
купить,v,192.7,100,94,5092
собираться,v,192.6,100,96,5778
воздух,s,192.2,100,96,4322
туда,advpro,191.7,100,94,4442
относиться,v,191.6,100,94,6746
бывший,a,191.5,100,96,5675
требовать,v,190.9,100,96,7101
характер,s,190.7,100,93,5908
борьба,s,190.5,100,94,6371
кстати,adv,190.3,100,95,6925
использование,s,190.3,100,83,5774
подойти,v,190.0,100,93,3608
Иван,s.PROP,189.9,100,90,2359
РФ,s.PROP,189.4,71,87,4564
